 ,smoc2_fibrosis1,smoc2_fibrosis4,smoc2_normal1,smoc2_normal3,smoc2_fibrosis3,smoc2_normal4,smoc2_fibrosis2
ENSMUSG00000102693,0,0,0,0,0,0,0
ENSMUSG00000064842,0,0,0,0,0,0,0
ENSMUSG00000051951,72,30,0,3,36,1,51
ENSMUSG00000102851,0,0,0,0,0,0,0
ENSMUSG00000103377,0,0,1,0,0,0,0
ENSMUSG00000104017,0,0,0,0,0,0,0
ENSMUSG00000103025,0,0,0,0,0,0,0
ENSMUSG00000089699,0,0,0,0,0,0,0
ENSMUSG00000103201,0,0,0,0,0,0,0
ENSMUSG00000103147,1,1,1,0,1,0,1
ENSMUSG00000103161,0,1,0,0,0,0,0
ENSMUSG00000102331,9,2,1,1,7,1,3
ENSMUSG00000102348,0,0,0,0,0,0,0
ENSMUSG00000102592,0,0,0,0,0,0,0
ENSMUSG00000088333,0,0,0,0,0,0,0
ENSMUSG00000102343,0,0,0,0,0,0,0
ENSMUSG00000025900,5,4,11,17,9,26,3
ENSMUSG00000102948,0,0,0,0,0,0,0
ENSMUSG00000109048,0,0,0,0,0,0,0
ENSMUSG00000104123,0,0,0,0,0,0,0
ENSMUSG00000025902,486,257,262,356,427,355,313
ENSMUSG00000104238,0,0,1,0,0,0,1
ENSMUSG00000102269,7,2,12,9,5,3,5
ENSMUSG00000096126,2,0,0,1,0,0,1
ENSMUSG00000103003,0,0,0,0,0,0,0
ENSMUSG00000104328,2,4,3,0,3,2,1
ENSMUSG00000102735,0,0,0,0,0,1,1
ENSMUSG00000098104,7,9,2,6,10,11,18
ENSMUSG00000102175,3,0,0,0,1,0,5
ENSMUSG00000088000,0,0,0,0,1,0,1
ENSMUSG00000103265,1,2,0,0,0,0,6
ENSMUSG00000103922,8,2,17,8,7,4,5
ENSMUSG00000033845,1342,1146,1283,1460,1338,1690,1085
ENSMUSG00000102275,30,18,13,19,33,21,20
ENSMUSG00000025903,1501,1241,3379,2684,1435,4187,1417
ENSMUSG00000104217,0,0,0,0,0,0,0
ENSMUSG00000033813,639,447,320,292,541,410,517
ENSMUSG00000062588,6,3,2,1,1,0,5
ENSMUSG00000103280,2,2,0,1,7,2,2
ENSMUSG00000002459,18,17,1,3,31,4,20
ENSMUSG00000091305,0,0,0,0,1,0,0
ENSMUSG00000102653,0,0,0,0,0,0,0
ENSMUSG00000085623,0,0,0,0,0,0,1
ENSMUSG00000091665,0,0,0,0,0,0,0
ENSMUSG00000033793,1927,1587,1883,2024,1655,2268,1627
ENSMUSG00000104352,0,0,0,0,0,0,0
ENSMUSG00000104046,0,0,0,0,0,0,0
ENSMUSG00000102907,0,0,0,0,0,0,0
ENSMUSG00000025905,0,0,0,0,1,0,0
ENSMUSG00000103936,0,0,0,0,0,0,0
ENSMUSG00000093015,0,0,0,0,0,0,0
ENSMUSG00000103519,0,0,0,0,0,0,0
ENSMUSG00000033774,0,1,0,0,0,0,0
ENSMUSG00000103090,0,0,0,0,0,0,0
ENSMUSG00000025907,2165,1644,1330,1178,1620,1547,1710
ENSMUSG00000090031,247,192,188,193,268,222,218
ENSMUSG00000087247,0,1,0,0,0,0,0
ENSMUSG00000103355,0,0,1,0,0,0,0
ENSMUSG00000102706,0,0,0,0,0,0,0
ENSMUSG00000103845,1,0,0,0,0,0,1
ENSMUSG00000033740,7,17,0,0,13,0,2
ENSMUSG00000103329,0,0,0,0,0,0,0
ENSMUSG00000104385,0,1,1,0,0,0,0
ENSMUSG00000102135,2,0,0,2,2,1,3
ENSMUSG00000103282,0,0,0,0,0,0,0
ENSMUSG00000102534,0,0,0,0,0,0,0
ENSMUSG00000102213,0,0,0,0,0,0,0
