"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Oxidative phosphorylation","114/133",1.73215069740026e-16,5.54288223168085e-14,0,0,5.59101516919487,202.909109514671,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;ATP6V1E1;ATP6V1G1;SDHC;SDHD;COX6B2;SDHA;SDHB;COX6B1;COX7A2L;PPA2;PPA1;UQCRC1;ND1;UQCRC2;ATP6V0D1;ATP6V0D2;ND2;ND5;ND4;ATP6V1A;ND6;NDUFB10;UQCRB;COX15;NDUFB11;ATP5MC2;ATP5MC3;COX7A2;COX7A1;UQCRH;ATP5MC1;ATP6V0A2;ATP6V1H;COX11;ATP6V0A4;COX1;CYC1;NDUFV3;NDUFV2;ATP5MG;ATP6V1D;NDUFV1;ATP5MF;ATP6V1C1;COX10;ATP5ME;ATP6V0A1;ATP6V1C2;ATP6V1F;LHPP;ATP4A;UQCRQ;CYTB;COX7B;COX4I1;COX4I2;TCIRG1;COX7C;UQCRFS1;COX8A;ATP6V0B;ATP6AP1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;ATP6V1B2;NDUFS3;NDUFS2;NDUFS1;ATP6V0C;ATP6V1B1;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;COX5B;COX5A;ATP5F1A;ATP5F1B;ATP6V0E2;ATP6V1G3;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;NDUFA1;ATP5F1C;COX6C;ATP5F1D;ATP5F1E;NDUFAB1;ATP5PO"
"Thermogenesis","179/232",1.64012430135883e-15,2.62419888217413e-13,0,0,3.15592486803162,107.440319974786,"NDUFA13;SMARCB1;KDM1A;NDUFA11;NDUFA12;NDUFA10;COX6A1;ACTB;RPS6KA3;RPS6KA6;CREB3L3;CREB3L4;RPS6KA2;CREB3L2;DPF3;PRKACA;MAP3K5;MAP2K3;CPT1A;PRKAB2;SMARCC1;ACSL1;TSC2;ACSL4;SDHC;TSC1;ACSL3;SDHD;CPT1C;COX6B2;SDHA;CPT1B;PRKAB1;SDHB;COX6B1;COX7A2L;ADCY9;UQCRC1;ND1;UQCRC2;ND2;ND5;ND4;COX19;ND6;COX16;NDUFB10;UQCRB;COX15;NDUFB11;NPR1;COX18;ATP5MC2;ATP5MC3;COX7A2;COX7A1;UQCRH;ATP5MC1;PRDM16;COX11;COX1;COX14;CYC1;NDUFV3;NDUFV2;PPARGC1A;ATP5MG;NDUFV1;ATP5MF;COX10;ATP5ME;COA3;SMARCA2;ADCY10;NDUFAF8;NDUFAF6;NDUFAF7;RHEB;UQCRQ;NDUFAF4;NDUFAF5;NDUFAF2;NDUFAF3;GRB2;NDUFAF1;CYTB;FGFR1;COX7B;COX4I1;COX4I2;COX7C;RPTOR;CPT2;PRKG2;UQCRFS1;HRAS;COA7;COA6;PRKG1;COA5;COX8A;ACTL6A;NDUFC2;SIRT6;NDUFC1;ARID1B;CREB3;CREB1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;PPARG;NDUFS1;SOS1;SOS2;MGLL;CREB5;NDUFB9;SMARCD1;KDM3A;NDUFB8;PRKAA1;SMARCD2;KDM3B;NDUFB7;PRKAA2;NDUFB6;NDUFB5;NDUFB4;NDUFB3;ADCY4;UCP1;NDUFB2;ADCY3;UQCR11;ADCY1;UQCR10;COX5B;ADCY7;COX5A;ADCY6;ADCY5;ATP5F1A;NRAS;SLC25A29;ATP5F1B;CNR1;SLC25A20;NDUFA9;SMARCE1;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NDUFA3;NDUFA2;BMP8A;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;ATP5F1E;MTOR;MAPK13;MAPK11;NDUFAB1;RPS6KB2;ATP5PO;KRAS;PNPLA2"
"Diabetic cardiomyopathy","157/203",6.15625083439741e-14,6.56666755669057e-12,0,0,3.18475182875314,96.8760847868076,"NDUFA13;NCF1;NDUFA11;IRS1;NCF2;NDUFA12;NCF4;NDUFA10;COX6A1;MPC1;MPC2;AKT3;AKT1;PDK3;PDK2;PRKCB;PRKCD;CYBB;PRKCA;CYBA;SDHC;SDHD;COX6B2;SDHA;CPT1B;SDHB;COX6B1;COX7A2L;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;ND1;UQCRC2;ND2;ND5;ND4;ND6;NDUFB10;UQCRB;NDUFB11;ATP5MC2;PIK3R3;ATP5MC3;COX7A2;PIK3R1;PRKCZ;AGER;COX7A1;UQCRH;ATP5MC1;COX1;CYC1;NDUFV3;NDUFV2;NDUFV1;SMAD2;ACE;PDHA1;SMAD3;TGFB1;TGFB3;INSR;GFPT2;NFKB1;COL1A1;COL1A2;SP1;UQCRQ;CYTB;RYR2;COX7B;COX4I1;COX4I2;ATP2A3;SLC2A1;ATP2A2;PIK3CD;PIK3CB;SLC2A4;COX7C;GYS2;GYS1;CPT2;RAC2;UQCRFS1;CD36;CTSD;COX8A;MMP2;NDUFC2;NDUFC1;MMP9;TGFBR1;TGFBR2;PLCB3;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PLCB1;PPARA;SLC25A5;PLCB2;GAPDH;SLC25A4;NDUFB9;CAMK2D;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;PDHB;COX5B;COX5A;RELA;MAPK9;ATP5F1A;ATP5F1B;TNNI3;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;NDUFA4;NOS3;NDUFA3;GSR;NDUFA2;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;AGT;ATP5F1E;MTOR;MAPK13;MAPK10;MAPK11;COL3A1;NDUFAB1;ATP5PO"
"Peroxisome","71/82",3.25931487784841e-11,2.60745190227872e-09,0,0,5.99453330633732,144.749510249747,"ABCD4;PECR;ABCD2;ABCD3;ECI2;MPV17L;MPV17L2;CROT;PEX26;SCP2;NUDT19;MLYCD;MPV17;NUDT12;GSTK1;ACOT8;PHYH;ACSL1;ECH1;PIPOX;ACSL4;ACSL3;PEX1;BAAT;GNPAT;PEX7;SLC25A17;ACOX2;ACOX1;PEX3;EHHADH;PEX6;AGPS;CAT;PEX5;FAR1;ACOX3;PEX11G;SLC27A2;MVK;PEX11A;HSD17B4;DDO;HMGCL;PRDX5;PRDX1;PMVK;HACL1;DECR2;HAO2;XDH;PEX16;PEX19;NOS2;EPHX2;IDH1;IDH2;PEX10;PEX12;SOD2;PEX13;PEX14;DHRS4;SOD1;NUDT7;PEX5L;AMACR;DAO;PXMP2;PXMP4;CRAT"
"Non-alcoholic fatty liver disease","118/155",4.69680820257976e-10,3.00595724965105e-08,0,0,2.96737301503838,63.7361093152428,"NDUFA13;NDUFA11;IRS1;NDUFA12;NDUFA10;COX6A1;TNF;AKT3;LEPR;AKT1;MAP3K5;PRKAB2;SDHC;SDHD;COX6B2;SDHA;PRKAB1;SDHB;COX6B1;COX7A2L;UQCRC1;CYP2E1;UQCRC2;NDUFB10;UQCRB;NDUFB11;PIK3R3;COX7A2;PIK3R1;ADIPOR1;ADIPOR2;COX7A1;UQCRH;SOCS3;BCL2L11;COX1;CYC1;NDUFV3;NDUFV2;NDUFV1;JUN;XBP1;TGFB1;INSR;NFKB1;MLXIPL;IL6;UQCRQ;CYCS;CYTB;COX7B;GSK3A;COX4I1;COX4I2;PIK3CD;PIK3CB;COX7C;CASP7;CASP8;CASP3;MLX;UQCRFS1;COX8A;SREBF1;NDUFC2;NDUFC1;TRAF2;FOS;TNFRSF1A;NDUFS8;NDUFS7;NDUFS6;IL1B;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;PPARG;PPARA;NDUFB9;NDUFB8;PRKAA1;NDUFB7;PRKAA2;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;COX5B;COX5A;RELA;CDC42;MAPK9;RXRA;BID;MLXIP;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NR1H3;COX6C;MAPK14;MAPK13;MAPK10;MAPK11;NDUFAB1;BAX;FAS"
"Prion disease","188/273",8.75410269594876e-09,4.66885477117267e-07,0,0,2.06164198882295,38.2511763751073,"NDUFA13;NCF1;NDUFA11;NCF2;NDUFA12;NCF4;NDUFA10;COX6A1;TNF;PSMD8;PSMD9;PSMD6;TUBB6;CREB3L3;CREB3L4;TUBB3;CREB3L2;PSMD3;PRKACA;CSNK2A1;PRKCD;CYBB;CYBA;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;COX7A2L;CSNK2B;UQCRC1;VDAC3;PPIF;VDAC2;VDAC1;ND1;UQCRC2;ND2;ND5;ND4;ND6;PSMD12;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;PIK3R3;ATP5MC3;ITPR2;COX7A2;ITPR3;PIK3R1;CACNA1C;CACNA1F;KLC1;COX7A1;UQCRH;ATP5MC1;KLC4;KLC3;C6;KLC2;C7;COX1;CYC1;NDUFV3;NDUFV2;NDUFV1;EGR1;HSPA8;PRNP;CAV3;HSPA2;GRIN2C;GRIN2B;GRIN2D;GRIN3B;IL6;GRIN3A;UQCRQ;CYCS;CYTB;MCU;RYR1;RYR2;COX7B;COX4I1;COX4I2;PIK3CD;LAMC1;PIK3CB;C8A;COX7C;CASP9;TUBA1B;C8G;CASP12;PPP3CC;TUBA1A;CASP3;RAC2;UQCRFS1;COX8A;APAF1;NDUFC2;NDUFC1;CREB3;TUBB2B;PSMA4;TUBB2A;CREB1;NDUFS8;NDUFS7;NDUFS6;IL1B;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A4;CREB5;C1QB;C1QA;NDUFB9;NDUFB8;NDUFB7;NDUFB6;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;COX5B;COX5A;PSMB6;PSMB7;MAPK9;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB3;CCL5;PSMB1;FYN;NCAM1;NCAM2;NDUFA9;ATP5PF;NDUFA8;NDUFA7;ATP5PD;NDUFA6;NDUFA5;ATP5PB;BAD;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;ATP5F1C;COX6C;MAPK14;ATP5F1D;TUBB4A;ATP5F1E;MAPK13;SOD1;MAPK10;MAPK11;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;BAX;HSPA1B;C1QC;HSPA1A"
"Valine, leucine and isoleucine degradation","43/48",2.92482561949214e-08,1.33706314033926e-06,0,0,7.97046837276678,138.267268753262,"ACAA2;ECHS1;HIBADH;ABAT;HSD17B10;AACS;ACAT2;ACAT1;HMGCL;MCEE;ALDH1B1;ALDH2;AUH;OXCT1;DBT;AOX1;ACADM;MMUT;HADH;ACADS;HIBCH;ACAD8;BCKDHA;MCCC2;HMGCS1;AGXT2;BCKDHB;MCCC1;ACADSB;ACSF3;ALDH3A2;HADHB;HADHA;ALDH6A1;PCCA;EHHADH;IVD;PCCB;BCAT1;ALDH7A1;DLD;ALDH9A1;BCAT2"
"Lysosome","96/128",7.0683776356723e-08,2.82735105426892e-06,0,0,2.78683750728014,45.8854182359557,"SCARB2;HEXB;HEXA;CLTB;CLTA;CTSW;TCIRG1;NAGPA;LIPA;LITAF;CTSS;AP4M1;MFSD8;LAPTM4B;LAPTM4A;GNPTAB;LAMP1;NAGLU;GM2A;AP1G1;CTSL;HYAL1;CTSK;HYAL2;SMPD1;LAMP2;AP1S2;AP1S1;ACP5;CTSH;IDS;ACP2;AP3S1;CTSF;CTSE;GUSB;CTSD;CTSC;CTSB;ARSA;ATP6V0B;ATP6AP1;SLC11A1;GAA;SLC11A2;AP1B1;SUMF1;PLA2G15;NPC1;NPC2;ATP6V0D1;ATP6V0D2;ATP6V0C;CD63;ASAH1;ABCB9;GNS;AP3M2;GGA2;GGA1;NEU1;PSAP;ATP6V0A2;SLC17A5;ATP6V1H;AP4S1;ATP6V0A4;ARSG;AGA;AP1M2;ARSB;ATP6V0A1;CTSA;ABCA2;CD164;NAPSA;PSAPL1;SORT1;FUCA1;FUCA2;M6PR;LAPTM5;CTNS;NAGA;MCOLN1;IGF2R;GALC;GALNS;GNPTG;PPT1;MAN2B1;TPP1;PPT2;CD68;GLA;LGMN"
"Pathways in cancer","335/531",1.11682212859902e-07,3.97092312390762e-06,0,0,1.59759332531582,25.5736483082902,"RB1;SPI1;IL23R;ARAF;CALML3;CALML4;ELK1;EDNRA;EDNRB;FRAT2;MYC;RASSF5;AKT3;AKT1;PRKACA;SKP2;SKP1;IL15RA;DAPK1;PRKCB;DAPK2;PRKCA;RUNX1;BCR;EML4;AR;ADCY9;IL23A;CTBP1;EPAS1;MGST3;PDGFB;LPAR1;MGST1;PDGFA;PIK3R3;LPAR3;PIK3R1;HIF1A;TERT;HMOX1;RALGDS;GSTM4;STAT5A;WNT10B;STAT5B;FZD3;GSTM2;JUN;WNT10A;FZD2;GSTM1;FZD5;GADD45B;FZD4;GADD45A;FZD7;FZD6;FN1;IGF2;FZD8;IGF1;GNG12;GNG11;GADD45G;LPAR5;LPAR6;GRB2;CALM1;CALM2;GSTM5;CDKN1A;GLI1;BRCA2;GLI3;BBC3;GLI2;SHH;GNGT2;SUFU;HEY2;RAC2;RAC3;IKBKG;JAK3;HRAS;APPL1;JAK1;APC2;NCOA1;EDN1;GSTO2;GSTO1;IFNGR1;IL15;IFNGR2;NCOA3;NCOA4;FOS;WNT9A;KIF7;RHOA;PLCB3;PAX8;KIT;RARA;PPARG;ARHGEF1;PLCB1;PLCB2;PPARD;PTGER4;PTGER1;GSTP1;PTGER2;PTGER3;ADCY4;ADCY3;WNT8B;CXCR4;ADCY1;PTGS2;ADCY7;ADCY6;GNAI1;RELA;ADCY5;GNAI2;RXRB;NRAS;RXRA;STAT4;CTNNA1;STAT6;CTNNA2;BID;IL12RB1;RXRG;RUNX1T1;EGLN1;ARNT2;NQO1;CDKN2B;EGLN3;EGLN2;CDKN2A;STAT1;STAT2;STAT3;VEGFB;WNT7A;VEGFD;AGT;VEGFA;HEYL;GSTA5;GSTA4;GSTA3;GSTA2;GSTA1;CCDC6;FAS;F2RL3;CSF3R;EPO;ITGA2B;FGF1;FGF2;ETS1;FGF7;CCND3;CCND2;FGF9;CCND1;PIM1;PIM2;IL13RA1;IFNAR2;PDGFRB;PDGFRA;MAP2K2;WNT5B;TPM3;HGF;F2R;WNT5A;PGF;RBX1;MSH2;CCNE2;COL4A2;CCNE1;COL4A1;COL4A4;COL4A3;COL4A6;IL6ST;IFNAR1;NOTCH3;CUL2;TCF7;GSTT2;GSTT1;CSF2RB;STK4;CSF2RA;RASGRP1;FOXO1;KNG1;RASGRP4;PLD2;RASGRP3;WNT6;BCL2L11;DVL1;ABL1;DVL2;PMAIP1;WNT4;SMAD2;SMAD3;TGFB1;TGFB3;PTCH2;ESR1;NFKB1;ESR2;NFKB2;BMP4;NFKBIA;BMP2;IL6;CDK6;CXCL12;CDK4;SP1;IL7;CDK2;FGF18;GNB1;GNB4;CYCS;FGFR4;IL7R;FGFR3;FGFR2;BCL2L1;FGFR1;ALK;ITGB1;WNT2B;FLT3;LAMC3;FLT4;SLC2A1;PIK3CD;LAMC2;PIK3CB;LAMC1;CKS1B;CASP9;CASP7;CASP8;CASP3;BDKRB2;ITGAV;NKX3-1;ARHGEF11;APAF1;CHUK;ITGA3;ITGA2;MMP2;TRAF2;TRAF1;AXIN2;MMP9;TGFBR1;TGFBR2;CCNA2;TRAF4;TRAF3;IL3RA;BIRC5;SOS1;SOS2;BIRC2;BIRC3;LAMA5;HDAC2;CAMK2D;RALB;LAMA2;HDAC1;ROCK2;LAMA1;LAMA4;LAMA3;LRP5;IL2RG;CBL;DLL1;LRP6;CDC42;MAPK9;GNG2;GNG4;GNA11;GNA12;E2F1;E2F2;GNG8;E2F3;BAK1;NTRK1;TCF7L2;TCF7L1;TXNRD3;LAMB3;NOS2;TXNRD2;BAD;EGF;TXNRD1;LAMB1;MTOR;PML;EPOR;MAPK10;RAD51;IL2RA;IL2RB;RPS6KB2;BAX;KRAS"
"Huntington disease","203/306",2.12686360884061e-07,6.22158790287462e-06,0,0,1.83632467847841,28.212277314267,"PSMD8;PSMD9;PSMD6;CREB3L3;CREB3L4;CREB3L2;PSMD3;ATG14;ATG13;COX7A2L;UQCRC1;VDAC3;TBPL1;TFAM;VDAC2;ULK1;VDAC1;UQCRC2;STX1A;COX1;PPARGC1A;DNAH11;DNAH17;GRIN2B;RCOR1;ATG2B;COX7B;HIP1;CLTB;CLTA;AP2A2;COX7C;BBC3;ACTR1A;TUBA1B;ACTR1B;TUBA1A;COX8A;PLCB3;TUBB2B;PSMA4;TUBB2A;PPARG;HAP1;PLCB1;PLCB2;UCP1;UQCR11;UQCR10;COX5B;COX5A;PSMB6;PSMB7;ATP5F1A;PSMB4;ATP5F1B;PSMB5;PSMB3;PSMB1;ATP5PF;ATP5PD;ATP5PB;AP2B1;ATP5F1C;COX6C;ATP5F1D;TUBB4A;ATP5F1E;PSMC5;PSMC3;PSMC1;NDUFAB1;PSMC2;ATP5PO;ACTR10;NDUFA13;NDUFA11;NDUFA12;NDUFA10;COX6A1;TUBB6;TUBB3;MAP3K5;TGM2;SDHC;SDHD;COX6B2;SDHA;SDHB;TUBA4A;COX6B1;PPIF;ND1;ND2;ND5;ND4;ND6;PSMD12;NDUFB10;UQCRB;NDUFB11;PSMD13;ATP5MC2;ITPR1;SLC1A2;ATP5MC3;SLC1A3;COX7A2;NRF1;KLC1;COX7A1;UQCRH;ATP5MC1;KLC4;KLC3;KLC2;CYC1;NDUFV3;NDUFV2;NDUFV1;GRIA3;GRIA4;BDNF;DLG4;SP1;UQCRQ;CYCS;TAF4B;CYTB;COX4I1;COX4I2;CASP9;CASP8;SIN3A;CASP3;UQCRFS1;GPX1;APAF1;GPX3;GPX6;GPX8;GPX7;NDUFC2;NDUFC1;TRAF2;WIPI1;WIPI2;CREB3;CREB1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1;SLC25A5;SLC25A4;CREB5;DNAH3;BECN1;DCTN5;NDUFB9;DNAH1;HDAC2;NDUFB8;DNAH2;NDUFB7;NDUFB6;DNAH8;HDAC1;NDUFB5;DCTN4;NDUFB4;DCTN3;NDUFB3;NDUFB2;AMBRA1;MAPK9;POLR2A;POLR2C;POLR2F;POLR2H;POLR2I;POLR2L;NDUFA9;NDUFA8;NDUFA7;KCNJ10;NDUFA6;NDUFA5;NDUFA4;NDUFA3;ADRM1;NDUFA2;NDUFA1;SOD2;MTOR;SOD1;MAPK10;REST;BAX"
