"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0016054","organic acid catabolic process",244,-0.652369850437161,-2.90154854432669,1e-10,2.95023041474654e-09,2.00582100412321e-09,3668,"tags=69%, list=17%, signal=58%","15488/16367/74091/67528/19193/231691/56189/71761/66968/18979/12041/19703/12583/229517/52665/170789/66887/14073/67885/70503/15108/546726/12894/11611/74114/15212/14080/19300/13082/11363/14719/66841/69219/26378/50880/13177/11615/97212/26384/52430/67460/14317/20425/66948/18242/231086/11881/70266/19299/20524/67375/51798/66885/56690/80911/11409/56794/13382/71767/12035/227095/12908/56717/58810/14718/78920/229211/11370/12896/18634/69772/14661/67432/76282/11992/257633/434437/13171/52815/268782/14245/12036/110826/109254/110842/214579/15356/14415/243382/110391/15107/20280/107747/11430/93747/16922/12039/52538/338350/243537/70025/26912/171282/58875/102632/232174/72039/71562/26458/192166/110446/13142/71985/106861/18125/68631/14874/100705/56357/246277/212647/229905/68133/78038/102448/14085/237320/110959/12040/15233/270076/14417/235674/269378/104776/12411/70789/232078/19125/13479/12895/67880/74147/20322/104174/56185/268860/57742/30956/98256/93732/18478/107766/69123/18534/23923/11364/76574/227627/208665/234564/76187/15186/64385/266645/209176/27413/104158/15445"
"GO:0046395","carboxylic acid catabolic process",244,-0.652369850437161,-2.90154854432669,1e-10,2.95023041474654e-09,2.00582100412321e-09,3668,"tags=69%, list=17%, signal=58%","15488/16367/74091/67528/19193/231691/56189/71761/66968/18979/12041/19703/12583/229517/52665/170789/66887/14073/67885/70503/15108/546726/12894/11611/74114/15212/14080/19300/13082/11363/14719/66841/69219/26378/50880/13177/11615/97212/26384/52430/67460/14317/20425/66948/18242/231086/11881/70266/19299/20524/67375/51798/66885/56690/80911/11409/56794/13382/71767/12035/227095/12908/56717/58810/14718/78920/229211/11370/12896/18634/69772/14661/67432/76282/11992/257633/434437/13171/52815/268782/14245/12036/110826/109254/110842/214579/15356/14415/243382/110391/15107/20280/107747/11430/93747/16922/12039/52538/338350/243537/70025/26912/171282/58875/102632/232174/72039/71562/26458/192166/110446/13142/71985/106861/18125/68631/14874/100705/56357/246277/212647/229905/68133/78038/102448/14085/237320/110959/12040/15233/270076/14417/235674/269378/104776/12411/70789/232078/19125/13479/12895/67880/74147/20322/104174/56185/268860/57742/30956/98256/93732/18478/107766/69123/18534/23923/11364/76574/227627/208665/234564/76187/15186/64385/266645/209176/27413/104158/15445"
"GO:0019646","aerobic electron transport chain",64,-0.777071589655648,-2.86509116143312,1e-10,2.95023041474654e-09,2.00582100412321e-09,3923,"tags=88%, list=18%, signal=72%","66148/230125/12064/68197/215951/66576/12867/407785/230075/67530/225887/66925/84682/13063/57320/68375/12857/72900/17722/12861/66152/66383/13382/226646/17721/22272/12859/12868/66142/66052/68349/12866/67264/67273/17716/75406/67003/66594/12858/17995/66218/66945/66445/17711/17717/68943/22273/227197/17719/66694/67914/67680/78174/17710/12865/12869"
"GO:0042776","proton motive force-driven mitochondrial ATP synthesis",63,-0.775143742300722,-2.86277431529397,1e-10,2.95023041474654e-09,2.00582100412321e-09,4153,"tags=92%, list=19%, signal=75%","66416/11983/68198/66114/69875/100503946/68197/67130/17991/66091/11957/66916/407785/230075/68194/66495/71679/28080/57423/66414/68202/225887/66925/66046/68375/72900/11949/17722/104130/226646/54405/17721/78330/67184/66043/70316/66052/68349/67264/67126/67273/17716/75406/11950/66108/11958/66377/17995/66218/66945/11946/11947/68342/17717/227197/17719/67680/17705"
"GO:0015986","proton motive force-driven ATP synthesis",68,-0.766948334737478,-2.84037649132895,1e-10,2.95023041474654e-09,2.00582100412321e-09,4420,"tags=93%, list=20%, signal=74%","27425/17993/66416/11983/68198/66114/69875/100503946/68197/67130/17991/66091/11957/66916/407785/230075/68194/66495/71679/28080/57423/66414/68202/225887/66925/66046/68375/72900/11949/17722/104130/11951/226646/54405/17721/78330/67184/66043/11964/70316/66052/68349/67264/67126/67273/17716/75406/11950/66108/11958/66377/17995/66218/66945/228033/11946/11947/68342/17717/227197/17719/67680/17705"
"GO:0072329","monocarboxylic acid catabolic process",136,-0.678102369173589,-2.81303667448585,1e-10,2.95023041474654e-09,2.00582100412321e-09,3668,"tags=65%, list=17%, signal=54%","52665/170789/66887/14073/67885/15108/546726/12894/11611/74114/15212/14080/19300/13082/11363/66841/26378/13177/97212/52430/67460/66948/231086/11881/19299/20524/51798/66885/56690/80911/11409/56794/71767/12908/56717/58810/229211/11370/12896/18634/69772/67432/11992/52815/268782/14245/110826/109254/110842/15107/20280/11430/93747/16922/52538/338350/70025/102632/232174/26458/110446/71985/106861/68631/100705/56357/102448/14085/110959/270076/235674/12895/67880/74147/20322/56185/57742/93732/69123/18534/11364/76574/227627/208665/234564/64385/27413/104158"
"GO:0033108","mitochondrial respiratory chain complex assembly",99,-0.696779251472728,-2.77810814331514,1e-10,2.95023041474654e-09,2.00582100412321e-09,5954,"tags=86%, list=27%, signal=63%","214489/76178/69487/68033/71238/67105/108755/69702/66271/66821/100503890/107197/52469/20930/69089/231430/68332/68472/66379/595136/68002/67013/66278/21780/17993/70207/208501/66359/66349/66706/73694/235169/68198/72170/68020/69875/76826/68197/56046/66272/66433/67130/17991/68653/76947/66091/68493/66916/407785/230075/100042503/68194/66495/544717/66414/26926/68202/225887/66046/68375/17722/104130/226646/54405/17721/67184/70316/229211/68349/67264/67273/17716/75406/66108/66377/66218/66487/70556/68342/17717/22273/227197/17719/100041273/66346"
"GO:0022900","electron transport chain",119,-0.683824549799767,-2.77140552741377,1e-10,2.95023041474654e-09,2.00582100412321e-09,3943,"tags=73%, list=18%, signal=60%","12850/71361/66148/230125/12064/68197/215951/19017/14004/14719/66841/66576/12867/407785/230075/12122/67530/66495/50799/626359/17448/66414/26926/68202/78830/225887/66925/84682/13063/57320/68375/12857/14571/72900/17722/12861/66152/66383/67863/13382/226646/17721/22272/67892/78330/12859/14718/12868/66142/66052/68349/12866/67264/67273/17716/75406/67003/67636/66594/12858/17995/66218/66945/66445/14148/17708/17711/17717/110826/68943/22273/227197/17719/110842/66694/67914/17449/67680/20656/18984/78174/17710/12865/14555/212933/12869/17709"
"GO:0097250","mitochondrial respirasome assembly",108,-0.694634364737766,-2.76553636350406,1e-10,2.95023041474654e-09,2.00582100412321e-09,5954,"tags=85%, list=27%, signal=62%","214489/76178/69487/68033/71238/67105/108755/69702/66271/66821/100503890/107197/52469/20930/69089/231430/68332/68472/66379/595136/68002/67388/66278/17993/70207/70544/208501/56295/66359/66349/66706/73694/246782/235169/68198/68020/69875/76826/68197/56046/230649/66272/67130/17991/76947/66091/70397/68493/75689/66916/67044/407785/230075/100042503/68194/66495/544717/66414/26926/68202/225887/66046/68375/17722/104130/226646/54405/17721/67184/66043/70316/229211/68349/12866/67264/67273/17716/75406/66108/66377/66218/66487/70556/66117/68342/17717/22273/227197/17719/100041273/66346/12865"
"GO:0006637","acyl-CoA metabolic process",95,-0.696267002109081,-2.76260612252749,1e-10,2.95023041474654e-09,2.00582100412321e-09,4822,"tags=74%, list=22%, signal=58%","27402/14104/67420/106564/12974/15488/83603/67528/19193/12041/236900/170789/216739/20216/71147/14732/18597/20917/107146/217700/22333/64059/68263/66885/217698/73724/235339/56690/13382/12012/78920/20916/329910/70456/208715/228859/192156/18293/26897/60525/15378/29807/56451/55951/15356/230161/170439/209186/52538/70025/171282/110446/17850/18604/100705/74156/110959/233799/270076/67800/14081/68738/70789/117147/74147/272428/30956/23923/171281/104158"
