"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"oxidoreduction-driven active transmembrane transporter activity (GO:0015453)","54/58",1.05425599582328e-11,1.32625404274569e-08,0,0,12.5263921113689,316.6120854944,"NDUFA13;NDUFA12;COX4I1;COX4I2;NDUFA10;COX6A1;CYB561D2;UQCRFS1;COX8A;NDUFC2;NDUFC1;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB5;NDUFB4;NDUFB3;NDUFB2;UQCR11;UQCR10;COX5B;COX5A;COX7A1;UQCRH;NDUFV3;NDUFV2;NDUFV1;COX10;NDUFA9;CYB5A;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;CYBRD1;UQCRQ"
"NADH dehydrogenase (quinone) activity (GO:0050136)","34/35",3.70899500119e-09,1.2860544203181e-06,0,0,31.496912389039,611.433965652158,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1"
"NADH dehydrogenase (ubiquinone) activity (GO:0008137)","34/35",3.70899500119e-09,1.2860544203181e-06,0,0,31.496912389039,611.433965652158,"NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFA12;NDUFB5;NDUFB4;NDUFA10;NDUFB3;NDUFB2;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;NDUFS2;NDUFS1"
"protein kinase binding (GO:0019901)","327/506",4.08920324425469e-09,1.2860544203181e-06,0,0,1.70927254482005,33.0144550972931,"ERRFI1;CCNK;TFRC;MAML1;ACTB;GOLGA2;CHEK2;CDK5RAP1;FBXO5;SOX9;TRIM27;PRKACA;FBXO7;SLC12A7;TRIM21;ACVR1;IL15RA;PRKAB2;PRKCB;PRKCD;AP1B1;ANK2;ACSL3;MAPK8IP2;ATG13;PRKAB1;STX1B;PRKAR1B;KCNQ1;JTB;TRIM14;ATF7;PRKD2;CD226;SIK1;TRIB3;VDAC1;KIF20A;EPHA1;EZR;TRIB1;TRIB2;SKAP1;LLGL1;GRB7;MAPKAP1;AGAP2;GATA6;TWF2;GSKIP;BCL10;IQGAP1;THY1;HIF1A;ZBTB4;PRDX3;RACGAP1;PRKAR2A;CEP192;TRAP1;ACE;FZD5;STK11IP;LRBA;RCC2;PLK1;NBEAL1;NBEAL2;GDF3;SNAP91;CCDC88A;POLA1;TPX2;WNK1;NOX4;GRB2;CALM1;CALM2;INKA2;INKA1;ACVRL1;TOP2A;RYR2;TOP2B;CDKN1A;PTPRR;DIRAS1;KIF14;PTPRJ;KIF11;PTPRK;WDR45;CD3E;AP2A2;RPTOR;GYS1;TRIM6;HINT1;SUFU;RACK1;RAC2;RAC3;NEFH;APPL1;DUSP5;MAP4K2;DUSP2;DUSP1;PGAM1;RHOG;RHOH;EMP2;RHOF;DUSP8;RHOC;DUSP9;SIRT1;RHOD;DUSP6;RHOA;SYN1;CIT;RHOB;KAT2B;GPRC5B;SIKE1;CEACAM1;BANK1;RARA;HCLS1;PICK1;MAPT;ARHGEF7;MAPRE1;KIZ;PRKN;GSTP1;ADCY4;WAS;NEDD9;PTN;PHYHIP;ADCY6;RELA;RELB;CAMK2N1;CAMK2N2;PAK2;CDKN2D;CDKN2B;NPM1;CDKN2C;MAP3K1;GCH1;CDKN2A;CAVIN2;CAVIN3;STAT3;SKI;MAD2L2;STING1;CENPJ;NBR1;CEP43;LIMS1;CDK5R1;TJP2;UGT1A10;IRS1;PEBP1;CDH5;CCND3;CCND2;CCND1;CEP250;SIRPA;IFNAR2;MAP2K3;NSF;PDGFRB;FBXW5;BORA;RPS7;ADAM10;VRK1;VRK2;CDC25C;TICAM1;SRCIN1;LAX1;CDC25A;TUBA4A;CDC25B;TOM1L2;FRMD5;MAPKAPK3;MSH2;MAPKAPK2;DOK7;ROR2;SHC4;KHDRBS1;SHC2;SHC1;RHOBTB3;FOXO3;ADIPOR1;MACROH2A1;RHOBTB1;RHOBTB2;FAM83G;CCNB1;FAM83F;SOCS1;GRK5;IRAK1;DVL1;STK38;ABL1;TBC1D14;FAM83D;FAM83C;BCL2L14;FAM83B;CNTLN;SMAD1;SMAD3;NEK6;MSN;GCSAM;EEF2;ESR1;ARHGAP33;MAVS;PTPRC;RGCC;NR4A3;TRPV4;CASS4;PIN1;CSPG4;TCF3;LAT;BCL2L1;MAP3K12;RAD9A;ITGB1;GSK3A;PRR7;RNF13;PRKCSH;ITGB2;PDE3B;PLEK;DUSP19;HSPB1;ILK;TREM2;PTPN23;FOXM1;PKD1;RND3;CKS1B;RND1;CASP9;GHR;SPRED3;SPRED2;SPRED1;DUSP10;BLNK;DACT3;ITGAV;SCN5A;YWHAG;DACT1;DSP;PPP1R12A;TRAF2;IRAK3;IRAK4;TIRAP;DNAJC3;DUSP22;ACTA2;CCNA2;FGR;LCK;DCX;IRF5;MYH6;BECN1;MVP;PARD6G;HDAC9;HDAC7;AURKA;CDC42;PARD6B;PARD6A;MAPK7;SV2A;MARVELD3;CSK;TNNI3;RFFL;PDLIM5;SH2B3;MAPK4;SASH1;SLC12A2;SPAG9;PTPN1;TCF7L2;SLC12A4;BAD;TPRKB;TPCN2;USF1;PINK1;CD4;TNIP1;PRC1;TNIP2;PTPN6;CD247;PTPN2"
"kinase binding (GO:0019900)","292/461",4.28529662441098e-07,0.00010781806307018,0,0,1.61274865127869,23.6475816776106,"RB1;ERRFI1;CCNK;TFRC;MAML1;ACTB;GOLGA2;CHEK2;CDK5RAP1;FBXO5;TRIM27;PRKACA;FBXO7;SLC12A7;TRIM21;TNS2;IL15RA;PRKAB2;PRKCD;AP1B1;ANK2;ACSL3;MAPK8IP2;ATG13;PRKAB1;STX1B;TIAM1;JTB;TRIM14;CD226;SIK1;TRIB3;VDAC1;KIF20A;ATF5;EPHA1;SKAP1;LLGL1;STX1A;GRB7;MAPKAP1;AGAP2;GATA6;GSKIP;BCL10;IQGAP1;THY1;HIF1A;ZBTB4;PRDX3;RACGAP1;PIP5K1A;CEP192;BARD1;TRAP1;FZD5;GADD45A;STK11IP;LRBA;RCC2;PLK1;NBEAL1;NBEAL2;PARP16;CDC6;GDF3;SNAP91;POLA1;TPX2;WNK1;TOLLIP;TRIP6;SNAI1;GRB2;CALM1;CALM2;INKA2;INKA1;ACVRL1;CDKN1A;PTPRR;BTG1;KIF14;PTPRJ;KIF11;PTPRK;WDR45;CD3E;AP2A2;MYOM2;RPTOR;GYS1;TRIM6;SUFU;RAC2;RAC3;NEFH;PGAM1;RHOG;RHOH;EMP2;RHOF;RHOC;RHOD;RHOA;SYN1;CIT;RHOB;KAT2B;GPRC5B;SIKE1;CEACAM1;TAX1BP1;HCLS1;MAPT;ARHGEF7;MAPRE1;KIZ;PRKN;SP100;WAS;PTN;ADCY6;RELA;RELB;CAMK2N1;CAMK2N2;FLNA;PAK2;CDKN2D;CDKN2B;NPM1;CDKN2C;GSN;MAP3K1;CDKN2A;STAT3;SKI;PER1;STING1;CENPJ;FAS;CEP43;LIMS1;CDK5R1;WWC1;WWC2;PEBP1;PARK7;EIF4ENIF1;LAPTM4B;CCND3;CCND2;CCND1;SIT1;CEP250;CHP1;PDE8A;IFNAR2;MAP2K3;NSF;PDGFRB;FBXW5;BORA;RPS7;ADAM10;VRK1;VRK2;CDC25C;TICAM1;SRCIN1;LAX1;CDC25A;TUBA4A;CDC25B;SGO1;TOM1L2;FRMD5;MYCN;MSH2;DGKQ;DOK7;SHC4;SHC2;SHC1;RHOBTB3;FOXO3;ADIPOR1;MACROH2A1;RHOBTB1;RHOBTB2;FAM83G;CCNB1;FAM83F;SOCS1;IRAK1;DVL1;TBC1D14;FAM83D;FAM83C;BCL2L14;FAM83B;CNTLN;SMAD1;SMAD3;NEK6;MSN;GCSAM;EEF2;ESR1;MOB1B;ARHGAP33;MAVS;PTPRC;RGCC;DLG2;NR4A3;DLG4;TRPV4;CSPG4;LAT;BCL2L1;MAP3K12;RAD9A;BCAR3;TRADD;ITGB2;HSPB1;ILK;PTPN22;PTPN23;FOXM1;PKD1;RND3;CKS1B;RND1;TTC28;CASP9;GHR;SPRED3;SPRED2;SPRED1;BLNK;CASP1;SCN5A;PPP1R12A;PPP2R5A;RAD23A;TRAF2;IRAK3;IRAK4;DNAJC3;ACTA2;CCNA2;FGR;LCK;DCX;IRF5;MYH6;BECN1;SRC;MVP;ATP1A4;PLG;AURKB;HDAC7;AURKA;CDC42;POLR2A;SV2A;UBQLN1;TNNI3;RFFL;MAPK4;SASH1;SLC12A2;PTPN1;TCF7L2;SLC12A4;BAD;TPRKB;TPCN2;USF1;PFKL;CD4;PIK3IP1;PRC1;TNIP2;PTPN6;STUB1;PFKM;PTPN2"
"flavin adenine dinucleotide binding (GO:0050660)","44/55",1.55150216301856e-05,0.00325298286846225,0,0,3.70523469190651,41.0306643214301,"GCDH;ACADVL;MTRR;STEAP4;KDM1A;KDM1B;ETFDH;ETFA;MTO1;DDO;FOXRED2;ACADL;AIFM1;AIFM2;MICAL1;LDHD;AOX1;QSOX1;NOS1;PRODH;XDH;NQO2;NOS2;NOS3;GSR;SQOR;CYBB;MICAL2;KMO;SDHA;GFER;SQLE;POR;DAO;ACOX2;ACOX1;ILVBL;AGPS;DPYD;CRY1;NOX4;ACOX3;DLD;MMACHC"
"protein homodimerization activity (GO:0042803)","382/636",1.91723045343877e-05,0.00344553701489425,0,0,1.40363449976101,15.2463394050151,"CDA;PANK3;TFRC;GLDC;PANK1;UXS1;CISD2;SLC4A1;ENO1;PHB2;IKZF3;ATP5IF1;CREB3L3;CHEK2;FBXO4;AKT1;PIP4K2A;PIP4K2B;MMUT;TRIM27;SOX6;B2M;TRIM21;PDK2;ACVR1;CUBN;GBP5;ST6GAL1;ACOT7;GLCE;ACTN1;SLC11A1;SERPINF2;MTUS2;HOGA1;KNSTRN;UPB1;TRIM14;TARS2;KIF20B;ATF3;EXD1;NAA60;FICD;ABCB7;SHMT2;SHMT1;PEX11A;SMIM1;PDGFB;ZBTB1;PDGFA;ABCB9;ZBTB4;HSD11B1;BLOC1S6;SNX1;FXR2;TERT;INPP5F;S100A16;PPCS;STC2;PNPO;S100A13;SYNDIG1;HMOX1;KCNN2;SNX9;APOE;ZBTB7B;RAB11FIP3;S100A11;ST3GAL2;RAB11FIP4;LHPP;S100A10;SNX6;BARD1;GSTM4;CADM3;GSTM2;HARS1;PHETA2;GSTM1;CADM1;FZD4;GADD45A;EIF2AK1;PDE2A;TMEM192;SNF8;NR0B2;PHETA1;BST2;EXT1;GNPTG;CCDC88A;KYAT1;TOP2A;TENM2;HIP1;TENM3;CITED1;TENM4;BHLHE41;PTH1R;SPPL3;EEA1;TRIM8;TRIM6;ATIC;IMPA1;GLIPR2;HNF4A;CHMP1A;RACK1;RBPMS2;MLX;MUC13;IKBKG;APPL2;APPL1;ZHX2;TPI1;ZHX3;MME;PRMT2;STARD3NL;RIPK2;TESC;TNNC1;COMMD1;NUDT16L1;TERF1;NAALADL1;ANO1;CEACAM1;DPYD;KIT;TLR9;RDH5;TKT;CRYAB;PAFAH1B3;MGLL;PAFAH1B2;TIMM9;ODC1;HSD17B4;TIMM10;CST7;RELA;PAPSS1;TYMP;PGRMC1;MTHFD1L;FLNA;MGAT2;XDH;AOC1;NPM1;NQO2;GCH1;AADAT;STAT1;GDF15;GSS;CARD9;STAT3;MYO9B;GRHL1;VEGFA;MKLN1;CENPF;ABCB10;STING1;FAP;GSTA4;KLHL7;IL17F;CEP43;MAD2L1;SCARB2;UGT1A10;PRDM9;CSF1;CIB2;CPOX;AHR;PARK7;GIMAP7;YARS2;PYCARD;STK10;EFEMP2;HPGDS;SMCHD1;SLK;ENPP1;BANF1;MAP3K9;GYG1;PSPH;MAP3K5;KCNH2;SH3GLB1;TPD52;BNIP3L;PDGFRA;CASR;DGAT2;MIGA2;TPM4;MIGA1;S100A1;TPM2;CEP131;TPM1;TAP1;ADAM10;TSC2;FOXP3;SDCBP2;MID1;FOXP2;NRBP1;POU3F3;TPST2;ALDH3A2;TPST1;OXA1L;TYROBP;JAML;MSH2;S100A6;CHMP4C;CHMP4B;MASP1;ABCG4;ABCG1;ABCG2;BLM;BHLHB9;FECH;NPR3;LPL;NRF1;PLD6;STK4;CORO1A;RAP1GAP;FBLN5;DPP4;CLTRN;IRAK1;NACC2;PSAP;NDP;TPPP;SRGAP2;MCL1;TFAP2B;SMAD3;RBPMS;EPHX2;IDH1;INHBB;COQ9;SYT6;GGCT;VIL1;MLXIPL;GRHPR;NR4A3;GDNF;SP1;STK25;HOOK1;CRYL1;TCF3;BCL2L2;FGFR2;BCL2L1;MAP3K12;BMPR1A;FGFR1;ABCD2;ABCD3;LDB1;CPQ;MTCL1;FLT4;LRRK2;HSPB8;PLEK;HSPB1;ECE1;PKD2;SYNE1;GHR;NADK2;HHEX;KYNU;DGCR8;AOX1;MFSD1;ACP3;HIF1AN;LRRFIP1;BOK;CDADC1;PDCD6IP;TRPC6;CHUK;HMGCS1;UGT1A1;APOA2;DARS2;APOA4;IRAK3;DUSP29;CIP2A;DCK;GREM1;SUPV3L1;ALDH1A3;PEX7;ACOX2;ALS2;ACOX1;CAT;XCL1;MYH9;ANG;MVD;PRPS2;PRPS1;CEBPB;CAMK2D;PDXK;NOD1;NLRC4;RCHY1;ADD1;LRP6;NFS1;SRR;CBS;ERBB4;CCL5;DROSHA;BAK1;SLIT2;UGT1A9;CRYM;GBP2;PDLIM4;GBP4;MAPK4;NTRK1;NTRK2;MMAA;NOS2;GZMA;BNIP3;NAGA;TPD52L1;PML;TBX18;USF1;GSTZ1;CD4;XPNPEP1;VAPB;BAX;STUB1;TRIM37;ERCC5;GALM;MMACHC;GLA"
"cytokine receptor activity (GO:0004896)","64/88",5.50302233488194e-05,0.0081006691417804,0,0,2.47158247854977,24.2403615412679,"CNTFR;CSF3R;FLT3;IL23R;IL1RAP;IL27RA;GHR;IL18RAP;CCR9;LEPR;CCR8;CCR5;CCR4;CCR3;CCR2;CMKLR1;IL13RA1;IFNAR2;IL15RA;IFNGR1;IL1R1;IFNGR2;IL1R2;GFRA1;LIFR;IL17RE;IL17RD;OSMR;F3;GFRA2;IL17RC;PRLR;IL17RB;GFRA4;IL17RA;IL3RA;IL6ST;CD44;IFNAR1;CX3CR1;EBI3;CSF2RB;IL2RG;CSF2RA;IL1RL1;IL1RL2;CXCR3;IL21R;IL12RB1;CCR1;CD74;XCR1;FZD4;IL10RA;IFNLR1;EPOR;CD4;IL2RA;IL2RB;ACKR2;IL7R;CRLF1;IL18R1;CRLF2"
"proton transmembrane transporter activity (GO:0015078)","33/40",5.79539127790331e-05,0.0081006691417804,0,0,4.36406863758528,42.5752534402945,"SLC46A1;COX15;COX4I1;COX4I2;UQCR11;UQCR10;CLCN3;COX5B;COX6A1;COX5A;COX7A1;UQCRH;NNT;MFSD3;UQCRFS1;COX10;ATP6V1F;COX8A;DMAC2L;CYB5A;NDUFA4;SLC11A2;SLC33A1;CTNS;OTOP3;COX6B1;CLCN5;COX7A2L;CLCN4;UQCRQ;ATP6V1B2;UQCRC1;ATP6V1B1"
"purine ribonucleoside triphosphate binding (GO:0035639)","280/460",6.49611962581828e-05,0.0081721184892794,0,0,1.44855153631592,13.9665289661955,"PANK3;SMC4;AKT3;LONP1;AKT1;ARFIP2;PDK3;PIP4K2B;PDK2;TRIM23;GBP6;ACVR1;GBP5;ARL11;PRKCI;GBP7;DAPK1;DAPK2;HASPIN;RUNX3;CLPX;UHMK1;DYNC1LI1;RRAGC;BTK;SIK3;SIK1;TRIB1;TARS1;PI4K2A;RABL6;PIF1;ABCB6;FICD;EPB42;RRAD;AGAP2;TWF2;WNK4;ABCB8;ABCB9;RHOT2;RHOT1;RRAS;PCK1;N4BP2;ABCA1;ABCA2;HARS1;DMPK;INSR;PLK1;RANBP17;SMARCA5;RAB27A;RAB27B;GLUD1;PPP5C;WNK1;ACVRL1;RYR1;DIRAS1;DIRAS2;KIF14;PYGL;TUBA1B;TUBA1A;GUK1;MTG2;ANXA6;RAC2;RAC3;HRAS;RAB8A;MAP4K1;MAP4K2;SPHK1;MINK1;RHOG;RRAS2;RHOH;RHOF;TUBG2;RHOC;SYN3;TUBG1;RHOD;SYN2;RHOA;SYN1;GNL3;RHOB;RAP2C;TUBB2B;RAP2A;TUBB2A;RAP2B;KIFC1;RHOJ;RHOU;RHOV;ARF5;RHOQ;ATL3;ATL2;IGHMBP2;GNAI1;REM1;NRAS;ATP5F1A;MTHFD1L;MAP4K5;REM2;MAP4K4;GCH1;PNPLA8;GSS;SEPTIN6;MYO9B;TUBE1;SEPTIN4;TUBB4A;ATP5F1D;RAB11B;STK17B;TRIP13;HSPA1B;HSPA1A;NDUFA13;GIMAP7;YARS2;THG1L;STK11;TUBB6;PPIP5K1;TUBB3;PIM1;ENPP1;MTREX;MAP3K6;MAP3K5;TGM2;RAB2A;TAP2;TAP1;LMTK2;TUBA4A;GEM;RAB32;ACLY;RAB31;MSH2;SCG5;RAB38;TSSK4;CARS1;CARS2;ARL8A;ABCG1;ARL8B;BRSK1;RASL12;BLM;PXK;ARL6;ARL3;RHOBTB3;ARL2;STK4;RHOBTB1;RHOBTB2;STK3;RAP1B;STK36;PMVK;STK38;ABL1;MAP3K20;PGK1;HACL1;MYH10;MARK2;MARK1;HSPA9;HSPA8;RAB4A;MLKL;HSPA4;NEK6;HSPA2;MFHAS1;TBCK;CDK6;RHEB;UBA2;ADSS1;ADSS2;RAB5A;EIF4G1;BMPR1A;GALK1;ABCD4;ABCD2;DYRK3;ABCD3;DYRK2;NVL;LRRK2;MAST1;RND3;RERG;RND1;ARL5C;ATP7B;MYO18A;TLK1;ARL5A;KSR1;ABCC6;CAD;DARS2;IRAK3;PEX1;TGFBR1;DNM2;ARL4C;ARL4D;ZAP70;SARS2;NOA1;OAS2;PEAK1;OAS3;PEX6;MYH9;MCM6;CILK1;PRPS2;PRPS1;PDXK;MVK;RALB;RAB1B;ATP10D;VPS4A;ATP1A3;ATP1A2;NLRC4;ATP1A1;CDC42;RAB21;SRR;MKNK1;MKNK2;RAB28;GBP2;KCNJ1;ABCF3;GBP4;RRM1;MMAA;CDC42BPG;MX2;BCKDK;P2RX7;P2RX6;MYO1B;PFKL;PINK1;SNRK;P2RX4;RAD51;P2RX3;RAB14;RAB13;DRG2;KRAS;PFKM;MYO1F;RAN"
