"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Organismal Systems","Environmental adaptation","mmu04714","Thermogenesis","183/4646","238/9575",0.76890756302521,1.58465129487008,8.8672432062104,1.1185402448998e-19,3.85896384490433e-17,1.28337775467451e-17,"12859/76178/66495/227197/12912/74205/67273/271639/66052/226646/11949/64930/68375/228033/68349/69702/69487/84682/67126/104130/54405/66142/67071/50790/110651/56456/66046/66377/78284/18160/108097/18176/11950/76947/68493/12801/230075/12913/108079/12896/69893/66576/12163/595136/99982/67680/56717/70673/19744/19017/231430/19092/11958/12861/19079/68033/11461/57423/17992/68202/208647/68198/231991/104263/23945/19016/66108/16653/66091/333182/12865/110323/78070/68197/67003/70316/12869/15461/66853/26408/20587/66043/75406/66594/208677/50721/66414/11947/14182/14081/67184/22227/66916/18747/11513/12857/67892/104110/27425/66925/12858/12866/66706/57279/22273/20588/66152/432530/22272/26397/70383/69802/11951/57376/52469/83796/71679/14784/74370/208501/66694/67530/407785/66945/12867/75597/17993/104111/20663/66272/70127/214663/105787/12864/66218/66445/67130/19094/12895/11512/83797/66379/67942/11515/224129/68194/100041273/100042503/11957/28080/239985/20112/22084/68342/26416/26415/78330/66416/69875/72900/73694/20662/20463/277250/17991/11946/329003/12894/225887/17995/58988/12868/67155/19091/226139/67264/17716/17717/17708/17719/17721/17722/17711",183
"Metabolism","Energy metabolism","mmu00190","Oxidative phosphorylation","119/4646","141/9575",0.843971631205674,1.73935177976632,8.58656868499711,4.08279420783735e-19,7.04282000851942e-17,2.34223457186458e-17,"108664/12859/66495/227197/67273/338375/66052/226646/11949/68375/228033/68349/84682/67126/104130/54405/54411/66142/66046/66377/11950/74776/242341/230075/66290/66576/114143/595136/67680/11958/12861/21871/57423/17992/68202/66144/140494/68198/76252/13063/110935/11973/66108/66091/333182/12865/110323/11944/68197/67003/70316/76429/12869/67895/66043/75406/66594/66414/11947/11966/67184/66916/11972/12857/27425/66925/12858/12866/22273/66152/22272/70383/69802/11951/11975/71679/66694/67530/407785/66945/12867/17993/68775/73834/12864/66335/66218/66445/67130/67942/68194/100041273/100042503/11964/11957/28080/11984/68342/11974/78330/66416/69875/72900/20463/17991/11946/27060/225887/17995/12868/226139/67264/17716/17717/17708/17719/17721/17722/17711",119
"Human Diseases","Cancer: overview","mmu05208","Chemical carcinogenesis - reactive oxygen species","176/4646","229/9575",0.768558951965066,1.5839328379392,8.6830970856958,6.21791058866581e-19,7.15059717696569e-17,2.37807808478798e-17,"14859/12859/66495/227197/67273/17970/66447/66052/226646/23797/11949/11350/68375/228033/19271/68349/12359/84682/20779/19246/67126/104130/11836/11740/54405/16151/66142/66046/66377/18176/11950/14866/68312/14867/14863/14862/14865/13645/18033/230075/16476/66576/18710/58810/595136/67680/18707/15234/26414/231583/12861/17969/17992/68202/68198/66108/56615/16653/66091/333182/101540/13107/12865/110323/50490/68197/67003/70316/13106/12869/15461/26408/56484/103140/14871/14872/66043/75406/66594/26396/66414/11947/22335/11739/67184/15368/66916/18104/12857/13057/22334/105675/18753/13850/66925/12858/13076/14860/14857/100042314/14858/12866/74769/171429/22273/66152/26420/22333/22272/18806/11951/53859/71679/14784/77337/66694/67530/407785/66945/12867/18708/17993/11622/18760/18035/20663/15251/14281/11651/12864/66218/66445/67130/19094/67942/68194/100041273/100042503/11957/20655/28080/12408/20656/18607/68342/26416/26415/78330/71932/66416/22339/69875/72900/75292/13078/20662/20463/17991/11946/225887/17995/19697/12015/12868/12675/67264/57344/14873/68214/17716/17717/17708/17719/17721/17722/17711",176
"Human Diseases","Cardiovascular disease","mmu05415","Diabetic cardiomyopathy","162/4646","217/9575",0.746543778801843,1.53856148988972,7.79077294587794,1.86624996415334e-15,1.60964059408226e-13,5.35319068665038e-14,"12859/12825/66495/227197/16367/67273/17970/70456/66052/226646/23797/11949/68375/228033/68349/18796/18795/84682/17395/67126/13058/104130/11740/54405/236900/66142/18597/66046/66377/11950/108058/18033/230075/21812/12896/66576/18710/20525/595136/67680/56717/18707/18762/12491/18127/26414/12861/11938/17969/12843/17992/68202/68198/14433/66108/232493/66091/21954/333182/21803/12865/110323/14936/68197/67003/70316/18751/12869/13033/16334/66043/75406/66594/66414/11947/16337/22335/14782/11739/67184/66916/17390/12857/13057/11606/68263/22334/105675/18753/66925/12858/17127/12866/74769/22273/21813/66152/14584/26420/22333/22272/20528/53313/12842/18604/11951/11421/18750/71679/20191/11607/66694/67530/407785/66945/12867/18708/17993/21809/11651/12864/66218/66445/17972/19354/67130/19013/19094/12895/20683/67942/68194/100041273/100042503/11957/28080/55951/68342/26416/26415/78330/66416/11596/69875/72900/20463/17991/17126/11946/225887/17995/19697/18797/12868/67264/17716/17717/17708/17719/17721/17722/17711",162
"Cellular Processes","Transport and catabolism","mmu04146","Peroxisome","77/4646","87/9575",0.885057471264368,1.824026105759,7.49583752021131,3.02797398740006e-15,2.08930205130604e-13,6.9484034658233e-14,"15926/111175/74205/19298/16922/12908/228061/18633/12359/26458/59038/170789/50790/58869/68603/56185/19299/209186/230161/12012/20280/18477/15356/56273/668173/71382/74114/17527/80911/19301/13142/17855/76263/74043/19305/51798/110959/18631/269951/67420/56535/18634/70503/69129/14081/234384/67528/56690/14712/93732/67725/56794/28200/13850/235674/113868/72129/19193/18126/103737/11430/69123/23986/19300/17117/20524/26874/93734/74147/20655/20656/26378/224824/67993/22436/15488/54683",77
"Human Diseases","Neurodegenerative disease","mmu05020","Prion disease","192/4646","273/9575",0.703296703296703,1.4494330465058,7.31417022840738,1.09485818579785e-13,6.29543456833763e-12,2.09367617985904e-12,"12859/66495/227197/12912/22145/67273/17970/226519/66052/226646/11949/69379/15139/68375/19177/228033/68349/19182/16176/19122/12995/84682/67126/56436/54652/13058/104130/11740/54405/66142/66046/66377/78284/19172/11950/230075/12913/242443/230558/66576/18710/595136/12260/12262/12259/67680/12371/18707/19181/16193/26414/12861/67151/17969/17992/68202/208647/68198/13063/231991/16438/12391/12288/66108/14812/16439/66091/333182/232943/20190/57296/12865/110323/12028/14814/68197/67003/70316/23997/12869/14360/215999/170483/66043/75406/66594/208677/11783/66414/11947/22335/11739/12367/67184/66916/18747/12857/13057/22152/66413/22334/105675/18753/19173/19057/12364/15481/17967/66925/26441/12858/12866/74769/22273/66152/26420/22333/22272/19175/20304/11951/26446/22123/19184/66997/14813/71679/20191/66694/22151/73710/67530/407785/66945/12867/18708/17993/19179/16593/12274/109828/12864/66218/66445/17972/19354/67130/19094/22143/22142/67942/68194/100041273/100042503/17968/11957/20655/28080/19170/68342/16440/26416/26415/78330/66416/15511/193740/13001/21926/22154/74764/69875/22153/72900/20463/13653/17991/67951/11946/225887/17995/16594/12015/12868/67264/17716/17717/17708/17719/17721/17722/17711",192
"Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","75/4646","87/9575",0.862068965517241,1.77664880431072,7.06486506518779,1.6038721488518e-13,6.75691309724907e-12,2.24715035118276e-12,"108664/12487/12477/20297/21934/338375/16176/54411/24088/13038/12977/242341/66290/21898/21687/16476/114143/16193/20311/330122/14825/20310/21871/14254/66144/140494/76252/110935/20315/11973/16156/21803/16408/16414/83430/24099/11966/16168/11972/21943/17392/15894/11433/16173/12981/20296/20293/20304/20302/11975/13039/68775/73834/14281/21809/66335/12524/12519/11964/11984/11974/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/16994/21926/22339/27060",75
"Human Diseases","Neurodegenerative disease","mmu05010","Alzheimer disease","259/4646","389/9575",0.665809768637532,1.37217575004399,7.27556219498708,1.72971973405706e-13,6.75691309724907e-12,2.24715035118276e-12,"12859/227059/66495/12370/14369/227197/14367/22420/22409/22145/16367/67273/19225/66052/226646/23797/12334/11949/22030/68375/19177/228033/68349/19182/51897/228361/18796/16176/18795/12995/84682/67126/56436/54652/13058/104130/11836/11740/54405/16151/66142/15108/66046/66377/17380/67738/30791/19172/226548/18176/22414/11950/12977/56811/18033/67547/230075/66576/18710/595136/22417/67680/12371/56717/18707/13542/19181/16193/26414/22241/12861/18125/11938/67151/74781/17992/68202/68198/13063/22421/16438/12288/22419/12122/14433/21937/66108/16974/14812/16653/16439/66091/333182/232943/11816/57296/12865/110323/14814/27412/50490/14366/68197/67003/70316/23997/12869/15461/16334/26408/215999/66043/75406/23805/66594/106947/26396/11783/66414/16971/11947/72002/16337/22335/11739/12367/16956/67184/66916/12857/22152/66413/22334/105675/22418/100504663/19173/14365/19057/213053/12364/66925/26441/12858/75600/68318/11487/12866/74769/22273/66152/22433/68585/26420/22333/22272/216795/13543/19175/53313/18126/12569/11951/26446/22123/56208/57265/17762/19184/66997/12006/52639/69806/14813/71679/70405/12671/66694/22151/73710/67530/407785/66945/12867/18708/17993/11491/328133/19164/19179/12313/76559/16593/11651/12864/14368/66218/66445/72027/27373/67130/22410/22143/22142/18174/67942/68194/100041273/100042503/11957/11820/28080/56175/19170/68342/16440/78330/66416/11596/13001/21926/22154/74764/69875/22153/72900/19106/20463/12314/14370/106957/17991/93687/67951/11946/16973/225887/17995/16594/19697/12333/12015/18797/12868/20168/13380/14102/212398/12675/22423/67264/12369/17716/17717/17708/17719/17721/17722/17711",259
"Human Diseases","Endocrine and metabolic disease","mmu04932","Non-alcoholic fatty liver disease","124/4646","162/9575",0.765432098765432,1.57748866674107,7.19687316216911,1.76267298189106e-13,6.75691309724907e-12,2.24715035118276e-12,"12859/66495/12370/227197/16367/67273/72674/14103/66052/226646/23797/22030/20181/68375/68349/22259/12125/16176/84682/104130/54405/66142/66046/66377/16194/108097/18033/230075/16476/16847/108079/66576/18710/595136/12540/67680/18707/16193/26414/12861/19079/208104/58805/17992/68202/68198/13063/19016/68465/12122/21937/66108/66091/333182/606496/21803/12865/110323/12028/68197/67003/70316/13106/12869/16334/26408/75406/66594/66414/16337/12367/67184/66916/12857/66925/12858/12866/74769/22273/66152/22433/26420/22272/20787/21428/12702/66694/67530/407785/66945/12867/18708/17993/14281/11651/105787/12864/66218/66445/67130/19013/19094/68194/100041273/100042503/68342/26416/26415/78330/66416/21926/69875/72900/20463/17991/225887/17995/19697/12868/14102/67264/12369/17708/17711",124
"Human Diseases","Neurodegenerative disease","mmu05016","Huntington disease","208/4646","308/9575",0.675324675324675,1.39178514124704,6.78516859016535,5.93027187171148e-12,2.04594379574046e-10,6.80420667385844e-11,"12859/226977/66495/12370/227197/12912/22145/67273/66052/226646/16513/11949/22030/68375/19177/228033/68349/19182/51897/228361/20511/12064/18796/18795/84682/21817/67126/56436/104130/11740/54405/53623/66142/66046/66377/78284/19172/11950/230075/53598/12913/12757/67305/66576/595136/433759/67680/12371/56717/19181/19017/19712/26414/22241/12861/67151/20907/215114/74781/17992/68202/18181/208647/68198/13063/231991/16438/19016/66108/14812/66091/333182/170770/232943/57296/12865/69920/110323/12028/68197/381917/67003/70316/59288/23997/12869/66491/11772/26408/237336/15182/21780/66043/75406/66594/208677/11783/66414/11947/22335/11739/12367/67184/22227/66916/20021/12857/22152/66413/22334/105675/110084/100504663/19173/14802/66925/26441/20466/12858/12866/14775/22273/66152/26420/22333/22272/14778/327954/22059/20020/13385/19175/71770/11951/26446/22123/15114/56208/19184/66997/52639/71679/69926/75512/66694/22151/73710/74325/67530/407785/66945/12867/69590/17993/56444/19179/76559/217864/16593/13411/20512/12864/66218/66445/69833/67130/22143/22142/20683/67942/245841/68194/100041273/100042503/11957/20655/28080/20656/19170/68342/13417/78330/66416/22154/74764/69875/22153/72900/20463/72504/17991/67665/67951/11946/225887/17995/16594/18797/12868/67264/54130/17716/17717/17708/17719/17721/17722/17711",208
