"Cluster","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Up","Environmental Information Processing","Signaling molecules and interaction","mmu04060","Cytokine-cytokine receptor interaction","133/1425","294/9575",0.452380952380952,3.03968253968254,14.8530005269568,8.04188029041132e-37,2.65382049583574e-34,1.60837605808226e-34,"16178/16177/107527/17082/16182/16174/12765/16322/20297/21934/16324/12767/240873/14103/16963/16184/215257/54448/215274/16181/16176/12156/21939/245527/13607/16186/12766/16194/18049/12977/242316/21812/326623/21949/12986/21938/21941/21942/22163/16193/100532/20311/57349/56744/330122/14825/20310/17329/15945/55985/110075/57914/56221/209590/14562/12504/16156/232983/21803/16170/320100/16190/60504/246779/15979/14561/24099/14559/23886/16161/50931/20299/20312/20295/76527/16188/21933/21943/16154/16173/12773/21813/13051/12776/12769/80901/23832/12768/12771/12772/12774/18413/16878/14566/12981/57916/66102/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/18053/12985/12775/16323/57266/21809/18414/16197/18383/12984/12983/16185/72049/15980/27279/16994/21926/16992/50498/21950/50930/53603/56708/77125/12982",133
"Up","Organismal Systems","Immune system","mmu04640","Hematopoietic cell lineage","57/1425","94/9575",0.606382978723404,4.07446808510638,12.5251282661466,1.83089754434537e-24,2.07386112447761e-22,1.25688552998643e-22,"16178/16177/16184/16401/12505/16176/12479/16194/14129/12481/12977/12986/16193/14255/12526/12504/12527/16156/12483/12489/12493/233274/16190/12478/16409/12484/14128/16188/12502/12500/12501/12981/16400/12985/16416/12516/16398/109700/16197/16402/14724/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/21926/12475/12507/12482/21673/12982",57
"Up","Environmental Information Processing","Signaling molecules and interaction","mmu04514","Cell adhesion molecules","84/1425","181/9575",0.464088397790055,3.11834835708055,12.0305845369842,1.88532829497965e-24,2.07386112447761e-22,1.25688552998643e-22,"12487/12477/54167/18566/21367/269116/19264/20343/20344/94332/16401/20612/21939/245446/245450/245537/18417/242122/12481/22329/20970/20345/12740/12739/12526/12504/19294/52118/12483/17136/20737/16408/16409/74048/16414/17123/71908/12560/16412/15894/270152/54725/17967/102657/104099/216856/13003/20969/319504/16421/12737/12524/12519/100043314/13052/67374/56173/54419/14972/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/14964/15006/15013/15015/110557/15018/110558/15007/14991/14990/19280/12558/225825/12511/58205",84
"Up","Environmental Information Processing","Signaling molecules and interaction","mmu04061","Viral protein interaction with cytokine and cytokine receptor","56/1425","95/9575",0.589473684210526,3.96084949215143,12.126886279166,3.42212382239008e-23,2.82325215347182e-21,1.71106191119504e-21,"16182/16174/12765/20297/12767/16963/16184/16186/12766/16194/12977/21938/16193/20311/57349/56744/330122/14825/20310/17329/15945/55985/56221/20299/20312/20295/76527/21933/16154/16173/12773/13051/12776/12769/23832/12768/12771/12772/12774/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/12775/57266/16185/21926/16992/50930",56
"Up","Organismal Systems","Development and regeneration","mmu04380","Osteoclast differentiation","63/1425","136/9575",0.463235294117647,3.11261609907121,10.3753411478325,1.4177966128352e-18,9.35745764471234e-17,5.67118645134082e-17,"16177/14200/20846/21934/17970/246256/14131/23797/22030/20375/16176/12229/751864/320832/668101/100038947/13038/14129/12977/18033/21812/16476/16818/18707/14284/17969/12311/18733/18722/18729/100041146/18724/18730/100038909/18726/232801/14282/19698/21803/22177/15979/14728/16477/16391/21943/21813/16822/16416/12702/20963/18035/14281/18383/17972/19094/12703/15980/16440/26415/21926/83433/14283/18034",63
"Up","Human Diseases","Infectious disease: parasitic","mmu05140","Leishmaniasis","42/1425","70/9575",0.6,4.03157894736842,10.6443018382475,4.11910176389655e-18,2.2655059701431e-16,1.37303392129885e-16,"20846/19225/17970/246256/14131/16401/16176/13058/24088/14129/18033/21898/16476/17357/17969/21803/18751/16409/15979/16414/16412/17874/18126/18035/14281/21809/17972/19094/15980/26415/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/21926/12266",42
"Up","Organismal Systems","Immune system","mmu04062","Chemokine signaling pathway","77/1425","193/9575",0.398963730569948,2.68075629488228,9.86304526030884,1.06151283732047e-17,5.00427480451077e-16,3.03289382091562e-16,"20846/12765/20297/12767/16963/23797/18796/271849/15162/277360/22376/12766/14696/18176/18033/17096/14191/18707/20311/57349/56744/330122/14825/20310/17329/15945/55985/320129/17969/56221/66066/14709/18751/216148/11513/20299/20312/20295/14702/14678/12773/13051/12776/12769/80901/23832/12768/12771/12772/12774/94176/16428/320207/216869/66102/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/14710/12775/20848/140580/57266/104111/30955/18035/19354/22324/14773",77
"Up","Human Diseases","Immune disease","mmu05323","Rheumatoid arthritis","47/1425","87/9575",0.540229885057471,3.62996571889494,10.3038069977969,1.50408922146116e-17,6.20436803852728e-16,3.7602230536529e-16,"12487/12477/20297/21934/16176/24088/13038/12977/21898/16476/16193/20311/330122/14825/20310/16156/21803/16408/16414/24099/21943/17392/15894/16173/12981/20296/20293/20304/20302/13039/14281/21809/12524/12519/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/16994/21926/27060",47
"Up","Cellular Processes","Transport and catabolism","mmu04145","Phagosome","74/1425","183/9575",0.404371584699454,2.71709327964721,9.80653834375257,1.91489367294151e-17,7.02127680078554e-16,4.25531927320336e-16,"17167/226421/17970/246256/14131/17533/21825/13058/24088/21827/13040/14129/21898/21899/17969/11461/50909/667277/56644/108078/12721/16409/16414/170786/170780/170779/69165/170776/20288/22152/16412/20390/16416/17534/22151/73710/13039/21828/16398/17972/22143/22142/16402/21826/14972/15001/14998/15000/14999/21354/21355/15002/14961/14960/14969/381091/100504404/14964/15006/15013/15015/110557/15018/110558/15007/22154/14991/14990/22153/12266/140792/12475/67951/27060",74
"Up","Organismal Systems","Immune system","mmu04659","Th17 cell differentiation","51/1425","105/9575",0.485714285714286,3.26365914786967,9.75227709692792,2.34345243444673e-16,7.73339303367422e-15,4.68690486889347e-15,"22637/16177/20846/12503/16184/16176/20371/16186/16194/18033/21812/16476/16818/16193/209590/12504/21803/16190/60504/16797/246779/15979/16161/50931/12502/12500/12501/21813/57765/20848/16364/18035/14281/16185/19094/15980/12394/26415/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/18037/50498/17126",51
