"gene_id","baseMean","log2FoldChange","lfcSE","pvalue","padj","symbol"
"ENSMUSG00000025900",12.0695013432155,-2.07666714660641,0.625901310023503,6.67864408615282e-05,0.00021197972458699,"Rp1"
"ENSMUSG00000025903",2522.97514786434,-1.89755827225674,0.150069255122262,1.21460829651025e-37,2.84948127040546e-36,"Lypla1"
"ENSMUSG00000025909",12.8992232874555,-3.61978406827678,0.67567654856451,5.97342268964359e-09,2.84396551589213e-08,"Sntg1"
"ENSMUSG00000103411",4.5230481943314,-2.44193257305595,1.14628555241358,0.0012864141090621,0.00339727713276491,"Gm18300"
"ENSMUSG00000025911",3390.47686452624,-3.94423118981834,0.393020039919643,7.7531029875882e-25,1.00149104756966e-23,"Adhfe1"
"ENSMUSG00000081441",8.13824570652823,-2.80854065360334,0.776098088523767,1.89349420794095e-05,6.43281101918972e-05,"Gm6161"
"ENSMUSG00000046101",31.3148268142514,-1.74164079236975,0.529415607537242,8.32807067247172e-05,0.000260904938138566,"Mcmdc2"
"ENSMUSG00000025937",9228.60303808817,-2.47027209929806,0.121169047877299,3.8165053801746e-93,7.9661524449364e-91,"Lactb2"
"ENSMUSG00000102982",59.4028692146243,-1.84829133988399,0.326026673259035,1.39663917943391e-09,7.03168156751056e-09,NA
"ENSMUSG00000100959",3.10862226098731,-1.50297213755682,1.18097733505082,0.018775604537652,0.0389752162602397,NA
"ENSMUSG00000025940",994.598436112616,-1.11783885879345,0.101200412837598,4.879685970912e-29,7.68026120326629e-28,"Tmem70"
"ENSMUSG00000025776",26.8186152423987,-1.06920767201032,0.545646203062425,0.00703320842827545,0.0160991777223638,"Crispld1"
"ENSMUSG00000041872",20.8663299232747,-2.90473441891832,0.470783604885753,8.74094075904888e-11,4.83218244833162e-10,"Il17f"
"ENSMUSG00000025934",1147.40361573884,-2.1186322631292,0.245471701091143,6.91997031857331e-19,6.59627046927086e-18,"Gsta3"
"ENSMUSG00000025936",24.4269903839995,-1.93624331844701,0.629314998471232,0.000153488270196052,0.000463494730470339,NA
"ENSMUSG00000026156",1807.99777822466,-1.28540847151184,0.203423570001518,4.13611854266255e-11,2.33508775358507e-10,"B3gat2"
"ENSMUSG00000101939",113.914403870245,-1.72088826568413,0.368700324118594,2.97357512960103e-07,1.21633382682252e-06,NA
"ENSMUSG00000101111",4.79779421688726,-2.14980450300417,1.0067161473582,0.00170298266410758,0.0044021313449281,NA
"ENSMUSG00000102070",5.07451685983168,-1.40063752201307,0.885601647077151,0.011790820805469,0.0256662955038347,NA
"ENSMUSG00000101249",75.1863151360205,-2.03948639431266,0.313226164042059,7.63868441852903e-12,4.55303917276294e-11,NA
"ENSMUSG00000033569",19.9139345821027,-2.52988623220057,0.516932548608743,1.01578283980233e-07,4.32618114876913e-07,"Adgrb3"
"ENSMUSG00000101514",51.3512353926506,-3.44704855514041,0.350281694254178,9.27823031838015e-24,1.14233735353199e-22,NA
"ENSMUSG00000026131",10131.1365074705,-1.29978590670907,0.118446807276054,8.48822452970712e-29,1.3165000461561e-27,"Dst"
"ENSMUSG00000026123",4790.11029335356,-1.15264695242096,0.12584803804298,1.0458569674485e-20,1.09662767657253e-19,"Plekhb2"
