"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"mitochondrial translation (GO:0032543)","93/105",1.11257309638575e-15,6.68211401689284e-12,0,0,7.21227559437166,248.333801397957,"GFM1;MRPS15;MRPS16;FASTKD2;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MTRF1;MRPL2;MRPL1;MRPL9;CHCHD1;EARS2;RARS2;MRPS28;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;QRSL1;MRPL46;MRPS6;MRPL43;MRPS5;MRPS18C;TUFM;MRPL44;LARS2;OXA1L;MRPL50;MRPS9;MRPL51;NOA1;AURKAIP1;MRRF;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MTIF2;MRPL15;MRPS30;MTIF3;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;IARS2;GADD45GIP1;PTCD3;HARS1;NDUFA7;MRPL27;GATC;MRPL28;GATB;ERAL1;MRPL21;MRPL22;MRPL30"
"mitochondrial ATP synthesis coupled electron transport (GO:0042775)","67/71",4.65953599321144e-15,1.39925865876139e-11,0,0,15.5615622882586,513.52938504812,"COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX4I2;NDUFA10;COX6A1;COX7C;UQCRFS1;COA6;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;AFG1L;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;COX10;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;NDUFAF1"
"aerobic electron transport chain (GO:0019646)","66/70",8.49014848633977e-15,1.69972772696522e-11,0,0,15.3278164924506,496.619260285923,"COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX4I2;NDUFA10;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;NDUFC1;SDHC;SDHD;SDHA;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;UQCRC1;NDUFS2;NDUFS1;UQCRC2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;UQCRB;COX15;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;AFG1L;UQCR11;UQCR10;COX5B;COX5A;UQCRH;CYC1;NDUFV3;NDUFV2;NDUFV1;COX10;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;UQCC3;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1;CYCS;NDUFAF1"
"mitochondrion organization (GO:0007005)","139/175",3.7729142159574e-14,5.66503069526003e-11,0,0,3.60029134310253,111.279041883676,"PID1;MTFR1L;PARK7;PHB2;TOMM20;IFIT2;THG1L;TOMM22;CHCHD4;CHCHD2;ATCAY;CHCHD3;AKT3;LONP1;MPV17;FBXO7;MEF2A;BNIP3L;AGTPBP1;CXADR;MIGA2;MIGA1;TOMM34;MUL1;BCS1L;POLRMT;ATAD3A;RAB32;AFG3L2;OXA1L;COX7A2L;TFAM;RAB38;MGARP;COX7A2;NRF1;OMA1;PLD6;HIGD1A;COX7A1;TIMM50;PRDX3;RHOT2;RHOT1;PITRM1;TERT;MYH14;PPARGC1A;DNAJC19;ESRRA;FIS1;PNPT1;CHCHD10;TIMM44;FANCG;HIGD2A;TIMM10B;ADCK1;FMC1;TMEM11;CYCS;PYROXD2;BCL2L1;ALAS1;LRRK2;HK2;AIFM1;OPA1;AIFM2;TIMM17A;TIMM17B;USP30;GABPA;RAB5IF;CLUH;TWNK;VPS13D;SIRT4;SIRT5;TIMM23;TIMM22;TFB2M;PPRC1;DNM2;NIPSNAP2;SIRT3;SUPV3L1;HAX1;MTFR1;NDUFS1;HAP1;MTFR2;SLC25A4;ATPAF1;PRKN;STOML2;TOMM40;MTFP1;TIMM9;TIMM13;AFG1L;MIEF2;MIEF1;SPG7;TIMM10;TRAK1;HSD17B10;TMEM70;HSPD1;TRAK2;TYMP;ATP5F1B;SAMM50;MFN1;MFN2;BID;WASF1;BCAP31;TIMM8B;MGME1;PTCD2;MTX1;MTX2;NOS3;NUBPL;BNIP3;MTX3;MX2;MX1;ATP5F1D;GDAP1;PINK1;DNAJA3;TOMM7;BAX;SLIRP;SLC25A33;SLC25A36;TOMM5"
"mitochondrial respiratory chain complex I assembly (GO:0032981)","55/58",8.08542638412522e-13,8.09351181050935e-10,0,0,17.0145670179509,473.745828043709,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;ECSIT;ACAD9;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;TMEM126A;NDUFS2;NDUFS1;TMEM126B;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;FOXRED1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;TIMMDC1;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF2;NDUFAF3;NDUFAF1"
"NADH dehydrogenase complex assembly (GO:0010257)","55/58",8.08542638412522e-13,8.09351181050935e-10,0,0,17.0145670179509,473.745828043709,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;ECSIT;ACAD9;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;TMEM126A;NDUFS2;NDUFS1;TMEM126B;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;FOXRED1;NDUFV3;NDUFV2;NDUFV1;NDUFA9;NDUFA8;NDUFA7;NDUFA6;TIMMDC1;NDUFA5;NUBPL;NDUFA3;NDUFA2;NDUFA1;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF2;NDUFAF3;NDUFAF1"
"mitochondrial translational elongation (GO:0070125)","77/89",5.17389823508116e-12,3.88430409998718e-09,0,0,5.96219681555405,154.941961930118,"GFM1;MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;MRPL1;MRPL9;CHCHD1;MRPS28;TSFM;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;TUFM;OXA1L;MRPL50;MRPS9;MRPL51;AURKAIP1;DAP3;MRPS35;MRPS36;MRPL18;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL22;MRPL30"
"mitochondrial translational termination (GO:0070126)","77/89",5.17389823508116e-12,3.88430409998718e-09,0,0,5.96219681555405,154.941961930118,"MRPS15;MRPS16;GFM2;MRPS14;MRPS11;MRPS12;MRPL38;MRPL39;MRPL37;MRPL34;MRPL35;MRPL32;MRPL33;MRPL4;MRPL41;MRPL3;MRPL42;MRPL2;MTRF1;MRPL1;MRPL9;CHCHD1;MRPS28;MRPS26;MRPS24;MRPS25;MRPS22;MRPS23;MRPL49;MRPS18A;MRPS2;MRPS21;MRPL47;MRPL48;MRPL45;MRPS7;MRPL46;MRPS6;MRPL43;MRPS5;MRPL44;MRPS18C;OXA1L;MRPL50;MRPS9;MRPL51;AURKAIP1;MRRF;MTRF1L;DAP3;MRPS35;MRPS36;MRPL18;MRPS34;MRPL16;MRPS31;MRPL17;MRPL14;MRPL58;MRPL15;MRPS30;MRPL12;MRPL13;MRPL57;MRPL10;MRPL54;MRPL11;MRPL55;MRPL20;GADD45GIP1;PTCD3;MRPL27;MRPL28;ERAL1;MRPL21;MRPL22;MRPL30"
"mitochondrial respiratory chain complex assembly (GO:0033108)","77/90",1.7534932029039e-11,1.1701644640712e-08,0,0,5.50299240532745,136.291655979946,"NDUFA13;NDUFA11;NDUFA12;NDUFA10;ECSIT;CHCHD4;AIFM1;UQCRFS1;COA8;COA5;ACAD9;NDUFC2;NDUFC1;TIMM21;BCS1L;OXA1L;NDUFS8;NDUFS7;SCO1;NDUFS6;SDHAF3;NDUFS5;NDUFS4;SDHAF1;NDUFS3;TMEM126A;NDUFS2;NDUFS1;SDHAF4;TMEM126B;SMIM20;COX19;NDUFB9;NDUFB8;NDUFB7;COX16;NDUFB10;NDUFB6;DMAC2;NDUFB11;NDUFB5;COX18;NDUFB4;NDUFB3;NDUFB2;OMA1;FOXRED1;SAMM50;COX14;NDUFV3;NDUFV2;NDUFV1;NDUFA9;COA3;NDUFA8;NDUFA7;SURF1;NDUFA6;TIMMDC1;NDUFA5;PET100;UQCC3;NUBPL;NDUFA3;UQCC1;NDUFA2;NDUFA1;NDUFAF8;NDUFAF6;NDUFAF7;NDUFAF4;NDUFAB1;NDUFAF5;NDUFAF2;NDUFAF3;NDUFAF1;SLC25A33"
"inner mitochondrial membrane organization (GO:0007007)","46/49",1.79433604518777e-10,1.07767822873977e-07,0,0,14.2179933024214,319.06905690497,"NDUFA13;TIMM9;ATP5MC2;TIMM13;ATP5MC3;GHITM;MICOS13;SPG7;TIMM10;MICOS10;MAIP1;ATP5MC1;APOO;ATP5F1A;CHCHD3;ATP5F1B;SAMM50;OPA1;CHCHD6;ROMO1;ATP5MG;ATP5MF;ATP5ME;DMAC2L;HSPA9;TIMM8B;ATP5PF;TIMM29;ATP5PD;APOOL;MTX1;UQCC3;ATP5PB;MTX2;MTX3;DNAJC11;IMMT;TIMM22;ATP5F1C;ATP5F1D;ATP5F1E;LETM1;TIMM10B;AFG3L2;TMEM11;ATP5PO"
