"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0006163","purine nucleotide metabolic process","324/9937","456/28928",0.710526315789474,2.06844170908301,16.6352638294387,2.77833794148001e-58,1.81536601096304e-54,3.86920115429269e-55,"19335/66495/227197/15926/108147/98496/67273/12628/17970/14261/55990/11931/271639/66052/226646/98660/98256/11566/74023/15483/209692/11949/227659/227731/68375/70789/12298/14571/78830/228033/18573/56428/68349/18457/12048/16418/56045/20779/11486/67126/104130/54405/15452/18655/19139/245650/18639/110639/67414/66046/72175/12457/66377/229363/54195/60596/18160/78373/14263/11950/109674/242202/23971/22262/229949/230075/14430/66592/230103/230163/11639/108079/230718/595136/11637/11983/433766/74777/67680/13836/56717/110208/66454/100198/13806/16498/192185/18127/16548/71336/19017/22223/231327/67054/56362/13178/54403/665563/74167/11958/100705/23962/21405/246730/18439/19384/17969/66114/58805/17448/66437/57423/50799/68202/23917/68198/231932/19895/15277/110935/107747/11941/94044/13807/21991/14433/66108/16832/66091/243853/21803/14751/68352/56632/54200/27421/16828/269951/18584/68197/22228/207728/11871/11717/70316/56312/11674/67375/21351/16334/78914/18605/209558/331623/74747/15275/216019/12833/18641/66043/75406/16969/50721/50493/16000/66414/71207/11947/16337/209176/11966/67184/110385/66171/66916/18747/11513/18104/52815/12398/14198/218756/67725/11534/21881/17888/74551/104110/213484/210808/18577/56857/15481/27425/66925/14148/110119/18746/270166/19883/17436/74080/11848/23918/333433/56012/18293/432530/60530/17449/15254/14923/216805/11541/237823/14919/22059/13808/83429/74637/216963/11676/69802/11951/20848/21428/20533/14149/71679/50773/14635/71562/74370/67880/12409/212032/26914/14121/66129/407785/66945/218461/238871/17993/18115/104111/59027/68055/15251/108156/56217/19164/78920/26380/11565/105787/68646/68073/66218/17869/223646/14904/11564/67130/19013/66725/18642/11512/14555/67942/11515/74143/224129/68194/56490/11964/11957/11820/28080/23984/50873/68342/214917/72106/18585/78330/66416/15511/381101/14913/83433/18519/69875/67993/72900/22436/107766/104215/17991/433182/11946/225887/17995/18563/11474/56327/54683/12015/107197/225913/14544/56248/23972/16889/12495/18648/67264/76055/226265/17716/17717/17719/17721/17722",324
"GO:0006631","fatty acid metabolic process","335/9937","478/28928",0.700836820083682,2.04023422877939,16.588586389916,6.12856203956595e-58,2.0022012183262e-54,4.26741451491882e-55,"18777/11363/111175/74205/16367/227358/18627/13167/72999/212933/212980/72674/18783/19225/226564/14261/55990/66447/13244/226856/16922/67856/30963/74159/19215/26569/12908/96979/27413/22259/56348/56357/26458/67885/16176/68738/228775/60525/16418/15378/170789/19223/407243/18534/68041/14933/236900/50790/15108/56360/11770/229211/66841/26568/75778/108097/56185/68312/14867/14863/14862/14865/19299/170439/15107/71519/69772/11529/11532/11364/67460/12801/209186/230161/12012/67103/66775/230459/242546/546837/100066/665095/74519/13109/30924/108079/329910/12896/20280/52430/277753/13118/435802/13119/13117/666168/100040843/14073/54325/76574/14077/26922/230784/230796/69116/14726/56717/70025/66469/74114/231070/97212/231086/57742/80911/19017/79464/231326/67111/100705/21405/11409/75387/19079/338350/71985/78894/58805/18984/11690/11677/29807/54486/232078/110935/23945/19016/11689/232339/68465/19305/21937/26365/26367/74134/13094/13086/13087/13107/64383/51798/110959/110826/78070/207952/67800/53322/272428/233799/117147/70316/12041/66885/93747/13106/16334/66253/18634/18605/52665/20397/71767/93759/23887/17319/216136/625249/216190/244373/11886/102294/14081/15446/234309/16956/23886/26457/72054/106529/270076/66887/382044/104158/13897/234564/234669/234671/234673/72361/436059/192654/338521/67528/56690/257633/11606/93732/71147/56794/74551/68631/239126/13850/52023/66948/11814/11808/110446/94180/110842/13076/57874/17918/68801/14857/102632/14775/235623/235674/102570/113868/67469/237625/72129/69183/26420/20787/11671/52892/11688/11370/11684/13168/18604/104112/12189/67131/20682/328035/11430/20698/114886/14104/105387/105349/116852/27052/69123/23986/54326/109254/13614/11992/407785/72852/74156/74559/14245/13382/22160/11622/67452/320808/171210/26897/171282/171281/217700/77219/19300/11651/105787/17117/13350/20524/56448/545123/13105/380997/76279/223722/116939/19013/12895/26874/74147/70757/110460/13177/26378/19015/26416/64385/170716/81877/17850/18519/66968/78625/66400/12266/13078/106861/15488/225579/16149/52538/16891/109672/12894/14870/225884/60527/56473/76267/16952/54447/16889/72303/100043108/226143/226144/20250/20249/14732",335
"GO:0015980","energy derivation by oxidation of organic compounds","275/9937","380/28928",0.723684210526316,2.10674618517714,15.7093209902294,3.31706444688735e-52,7.22456636532065e-49,1.53981623271297e-49,"76187/68002/12859/67876/66495/227197/15926/16367/18627/67273/269224/212933/271639/66052/226646/14194/11949/227731/68375/14571/78830/56428/68349/12359/12064/69702/329509/67885/170718/110078/84682/67126/228966/54636/17986/104130/54405/26926/15929/66826/18679/66142/18597/67472/27357/66046/72175/66377/66841/11950/77559/11364/11428/230075/66592/230125/18124/72157/11639/16847/66576/595136/74178/11983/76824/74777/242700/68943/67680/170731/56717/70556/57320/70673/16548/19017/66681/11958/66383/63873/12861/23961/23960/246730/14467/18682/14004/66114/58805/17448/74781/57423/16591/50799/68202/68198/13063/56451/232146/72170/20917/94044/12122/66108/57436/232493/67636/66091/333182/606496/12865/110323/110826/14936/12028/16828/269951/72759/68197/207728/109042/12850/67003/70316/56312/64384/12869/16002/16334/22113/13853/71804/18605/215951/71361/12534/52637/103172/12833/66043/75406/66594/16000/66414/69181/108037/11947/12974/14533/16337/244416/67184/66916/18747/102093/17751/67914/14719/12857/12398/67892/68263/105675/239017/69089/105651/73181/20916/271221/66148/56857/14385/11814/66925/235339/67834/110842/12858/12866/244958/11848/22273/66152/18293/14783/245944/216558/17449/71701/69183/11548/22272/70383/22059/67863/68550/217166/14377/52639/71679/14387/14527/66694/66494/26914/67530/407785/66945/12867/66128/268697/16195/17993/13382/110095/78920/18654/26380/76559/11651/20512/68073/12864/66218/17869/18810/66445/11564/11429/67130/18642/14555/58200/68015/66849/68194/74185/11957/15975/28080/20656/68342/214917/78330/66416/21926/77596/224792/14711/69875/66972/72900/20463/17685/17991/67526/11946/225887/17995/11474/56327/12868/107197/14297/14718/67264/21416/11554/17716/17717/17708/17719/17721/17722/17711",275
"GO:0042060","wound healing","282/9937","394/28928",0.715736040609137,2.08360794834871,15.6655046640109,6.76308457044593e-52,1.10474986458234e-48,2.35462128597368e-49,"13518/100534273/12825/12633/14369/14268/18173/22349/20720/76707/12767/14060/12628/18783/11905/20344/14067/18214/14127/93840/338366/12490/18761/12496/12831/30931/13805/20910/16420/16410/12258/19271/12505/228413/21825/22174/99439/18457/11552/17289/241639/21824/75608/67996/15378/12361/21857/59048/14071/208748/192176/546336/67028/11605/66371/11747/14173/26570/70839/74012/99571/14161/110135/73182/229521/16194/20202/20194/11853/14066/16007/17096/14595/76959/230103/54357/64817/21898/242653/230824/22417/213649/14726/56717/12491/20423/16193/100952/54426/18595/16542/56744/15442/231532/16923/12740/12739/18787/18590/12304/11826/19695/26903/14461/22421/67166/12391/19016/11689/68465/15170/12527/56644/319197/11816/18793/26365/26362/65116/246694/72461/18479/244152/20597/20278/20277/27973/434246/101613/15461/12476/16334/27027/14728/12798/18717/21390/16000/13713/14068/14058/66901/14456/19414/18791/211323/19339/14065/15368/21672/20312/234695/116733/208936/14234/234852/93742/18186/16412/18792/22418/18753/11752/16475/14463/105513/13829/56373/17381/20443/72828/84004/270152/76509/17127/22003/12306/11891/235505/74769/13138/11848/14775/235627/12772/22433/56193/17882/77579/17312/11684/18436/18816/15567/22370/69071/20296/14230/20533/16416/18750/14027/56745/208092/74145/109620/109254/94245/20963/14063/14062/14064/26401/71853/72736/15251/110606/217847/14026/19219/14368/14042/22402/18810/17886/71753/18591/223701/14114/19013/106014/105722/11482/16687/16402/19041/20583/15160/14724/94175/385643/16644/12737/16419/107589/208177/73379/19128/68942/13052/18815/64074/27279/16440/19015/12575/80748/106722/21926/12305/22339/71461/71326/76905/246707/18754/19123/14164/20496/18018/23789/22340/108101/54525/16952/107351/19091/23972/226101/12495/192236/12369",282
"GO:0007015","actin filament organization","322/9937","476/28928",0.676470588235294,1.9693007121335,15.4244978375177,2.65180811711619e-50,3.46538284744744e-47,7.38598345040994e-48,"17974/17912/76709/241112/22349/26554/76707/74117/21956/67771/19736/21346/19130/269233/18761/76467/64930/11350/108897/227753/74192/24136/74194/17996/241431/329416/228543/18457/19261/59030/15901/20779/140579/277360/208431/22376/192176/102866/54004/18481/110380/58194/19241/11856/18759/18645/24088/170643/404710/16800/23897/59069/20194/11853/12340/71994/118449/211556/73205/22004/21812/230234/14745/12331/66938/17357/242687/16765/230837/22417/12540/12345/72754/71890/56717/56226/11518/22388/20563/74734/77569/320827/52822/27428/23790/231637/63873/12704/56378/23912/16885/13717/215114/56221/231830/14086/66898/56443/11867/245880/243725/21333/73178/109624/14489/22793/13835/330319/56753/12332/19240/12386/236266/232201/320502/12391/68089/93675/13860/50918/58804/70394/22323/101497/63986/54631/52428/243961/72088/14453/20430/21872/70420/29875/50490/18479/17921/109689/207278/69710/16332/56212/76932/20947/320878/70497/12721/66824/13043/233977/14219/73910/17118/83767/171580/14609/69288/74392/12798/114606/237436/432516/102098/234094/67384/14107/326618/20312/234683/234686/234695/72042/69581/18186/268709/68760/18753/63985/11727/268747/19229/246710/13829/18826/66214/56419/12363/15894/13430/235041/12797/69524/19684/19200/17127/74492/22003/71602/68178/17918/208943/50875/50876/17920/102502/17973/22041/23999/56441/11848/22351/18016/13169/246177/56193/66713/108686/268396/76884/30794/14457/77579/442801/18643/18816/76566/237860/21927/20292/66196/217124/217125/12985/67803/56699/14784/108100/170758/140580/19720/75477/56320/218397/57748/14063/544963/18708/26401/382562/11852/76820/19878/16413/20259/80837/20741/109711/21809/14744/14026/70435/19219/20356/211401/223601/14787/18810/17886/19354/104445/20401/18693/207495/58234/223864/223881/11827/65970/105855/13731/224105/16419/15163/56370/208177/16423/66616/22350/50873/27361/23969/12954/17916/80880/11629/12488/14158/260409/213556/18754/104215/225115/225288/17922/30948/319262/22240/104027/170826/68166/17919/23789/245857/11854/12631/104252/12333/107351/54132/27360/18175/71653",322
"GO:0044282","small molecule catabolic process","270/9937","376/28928",0.718085106382979,2.09044640811581,15.3952025475923,3.46389334217275e-50,3.77217984962613e-47,8.03987875735886e-48,"76187/227095/11363/56695/104086/74577/16367/50880/13167/266645/74091/271639/98256/16922/65969/192166/26569/70266/12908/70789/14571/76654/27413/14415/78830/56357/20322/26458/15186/67885/269378/11486/170789/13081/18534/15931/19703/14933/18655/15108/72039/229211/66841/229517/56185/20501/13171/99586/19299/15107/69772/11529/11522/11532/229905/69219/22262/11364/67460/12801/14430/72535/230163/72157/12896/20280/52430/14073/58810/76574/230784/15356/72269/212647/56717/110208/13806/57320/70025/74114/18127/97212/231086/16548/57742/71336/80911/110391/231327/56362/13142/100705/11409/18125/11669/338350/71985/15445/20778/30956/208665/58875/243382/232078/232174/243537/107747/94044/19305/13807/21991/14433/232449/12035/11816/12039/51798/14751/110959/110826/71755/12036/16828/14085/11674/67375/12041/66885/18242/93747/66253/18634/237320/11846/52665/70503/71767/15275/103149/18641/216136/18245/18478/15109/13115/216456/209176/320685/23923/270076/108682/66887/104158/234564/14719/319446/234724/52815/67528/68133/56690/257633/13479/93732/56794/14661/74551/68631/71891/13885/67618/72560/244757/66948/110446/110842/110119/13076/15211/18746/12040/102632/235582/434437/235674/113868/102448/56012/72129/17308/20425/22059/11370/13808/19193/18126/14635/11430/71562/67880/80879/105349/214579/18105/69123/23986/109254/11992/210009/11881/15212/78038/14245/13382/22160/171282/104776/19300/78920/14874/11651/67041/268782/66194/76282/26912/20524/56727/12895/26874/18642/246277/268860/19125/74147/15233/11615/109857/20975/245847/13177/14651/26378/19015/109801/12411/64385/170716/66968/22436/319625/107766/106861/26384/12583/433182/15488/52538/12894/16973/67689/11474/12015/66514/225913/14544/104174/18648/67432/14718",270
"GO:0050867","positive regulation of cell activation","286/9937","407/28928",0.702702702702703,2.04566607464866,15.3678557087158,5.65146081932017e-50,4.63731246345662e-47,9.88378906956826e-48,"22637/107527/17082/17974/227059/15510/12487/54167/16008/16147/16331/13136/20668/19264/18783/20344/16963/18214/18106/27218/320404/63953/15284/18761/16184/16169/11350/13482/19271/20375/228361/333883/12509/19419/21825/12335/27223/12010/18457/16176/19261/77006/20667/16803/11486/329559/21939/18019/18534/20371/74131/192176/13641/16186/12229/58194/16196/751864/320832/668101/100038947/381484/56456/12479/73182/22724/11444/242122/19260/57257/22329/12042/252838/192656/230126/18124/64817/21898/16818/12399/14726/71890/230979/18762/22163/55982/20423/16193/107823/231130/12494/21899/74734/57914/22628/13846/13856/108723/11461/18861/11987/15505/21333/12638/13848/83408/232210/17474/12504/56644/27007/232801/19294/16534/21803/26362/22177/243910/56632/207952/12144/16170/13032/16190/12721/20737/16408/66824/11501/16002/12520/77777/17863/19369/22361/14219/56484/12484/14728/74048/17319/20587/50723/21423/16000/20852/83430/67596/170780/170779/170776/13642/24099/14456/14182/16478/16161/16453/74015/16168/12400/234695/11534/22418/66923/75698/17387/13655/21943/321019/17394/54721/117149/21838/12501/16173/102657/17973/81897/11848/20588/21813/17874/12772/22433/56193/171285/347708/171284/171283/15944/16362/216799/104709/14252/16859/237877/20296/20304/57765/19401/12775/57376/20851/20850/20533/83796/217304/14634/20677/12522/20963/17260/16195/268564/380797/16019/105787/16197/19116/223601/13350/16852/18591/72049/66725/22410/83797/105855/83945/12703/14724/12053/74143/22042/12524/12519/16423/80859/12394/12575/320484/54219/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/547431/11596/11629/21926/15040/14991/106763/83433/106759/21950/50930/22324/17685/53603/16149/18596/240354/225825/56708/78317/12015/12507/12511/16952/76088/67155/74411/60533/58205/77125/11475/192236/14732",286
"GO:0007159","leukocyte cell-cell adhesion","300/9937","434/28928",0.691244239631336,2.01230888236443,15.3704516140879,5.67776242847458e-50,4.63731246345662e-47,9.88378906956826e-48,"22637/107527/17974/15510/12487/12477/54167/16008/16147/18566/13136/20668/240754/19264/12628/240873/20343/20344/16963/100039795/18106/27218/320404/338366/63953/15284/18761/16184/67122/11898/11350/13482/16401/228361/12505/333883/12509/19419/21825/12010/16176/19261/19122/20667/11486/12608/12162/18534/20371/74131/16179/17698/13641/16186/16196/94212/751864/320832/668101/100038947/381484/56456/229473/12479/22724/20201/20202/69769/242122/19260/22329/242202/67547/12042/192656/14348/230126/18124/16600/12578/230738/16818/16792/19204/12399/18782/230979/18762/14190/20423/16193/74734/56744/20345/14357/15507/22628/13846/13856/17120/108723/11461/11987/15505/13848/83408/93695/16950/11689/20315/232341/15170/12504/16768/12515/108078/245126/26365/21803/243910/12493/207952/12144/434215/22242/16190/12721/20737/16408/66824/16409/11501/16002/27027/12520/237256/22361/11846/56484/12484/14728/74048/11540/20587/16414/50723/17123/16000/83430/67596/170780/170779/170776/13642/24099/12367/16161/16453/74015/16168/21672/12400/234695/54446/16412/11534/66923/20390/12159/16854/14714/13655/21943/14345/15894/54721/23871/20443/21838/12501/11808/16173/102657/54371/17973/11848/20588/21813/13051/12772/22433/20868/171285/15944/16362/57783/216799/104709/14252/16859/20296/20555/20304/78473/57765/19401/12775/57376/20851/20850/20533/83796/217303/15223/14634/15216/20677/105352/109254/12522/20354/20963/16195/56838/268564/11651/105787/16197/66629/14042/15117/223601/19354/16852/72049/19013/22410/83797/16421/16402/105855/83945/12703/12053/74143/22042/12524/12519/100043314/208154/16423/208650/80859/67374/12394/22350/22084/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/547431/11596/11629/21926/15040/14991/94185/76905/21950/50930/22324/22694/65113/269023/16149/240354/19255/14870/19697/12333/78317/12015/108101/12507/12511/14537/16952/76088/67155/60533/58205/14732",300
"GO:0043603","amide metabolic process","316/9937","466/28928",0.678111587982833,1.9740778924391,15.334137872206,9.78758620185796e-50,7.10578758254888e-47,1.51450018070855e-47,"14859/15926/74205/23956/20452/212933/74091/70456/27045/14194/13244/15483/11305/11898/20448/50935/70789/26877/241447/20511/27402/20394/18457/19122/18549/68738/207182/60525/14854/228859/15378/11486/170789/56336/70495/17986/19703/236900/50887/11605/50790/56360/18597/26570/17380/66183/68603/26568/76893/226548/14866/68312/14867/14863/14862/14865/14630/170439/74442/16007/22262/26938/20447/107869/18201/50798/94181/209186/230161/12012/230163/22234/329910/67096/54325/106564/230718/26922/100340/15356/230857/75986/56717/70025/269614/74114/242864/330064/53419/67111/100705/17855/18439/109900/27053/30956/76263/29807/54486/56451/64704/100043497/68396/66116/232223/243537/107747/20917/65106/21937/56615/20167/11816/66071/606496/110959/56632/73724/18553/545975/20450/18550/13626/233489/66190/67800/50877/14275/20597/67420/233744/272428/233799/117147/68952/12041/66885/64384/16334/15979/22361/18605/11846/20598/19156/20397/73132/14598/23887/103140/14871/14872/27403/18551/16000/20186/15109/14421/12974/546049/14782/11886/14081/12367/23923/12876/73095/93898/382018/270076/104158/319446/192654/58994/20444/338521/67528/56690/192156/13479/68263/71147/67630/18753/26363/12759/20916/68059/23988/20660/18113/235339/110446/15211/68318/11487/14629/68801/14860/14857/100042314/14858/13036/235606/14775/53897/18293/68585/68044/211347/14694/22333/14667/20425/22059/71522/18436/83429/19193/18604/15114/104112/27419/71743/56208/68087/11421/50773/20698/74370/18453/14104/319530/12763/268656/18212/13039/210009/74156/13361/68018/15357/15212/78038/69048/74559/19012/208715/19878/13382/104725/104001/19164/171210/26897/171282/171281/217700/78920/14874/20773/14420/320910/20442/100503915/75475/13350/53357/27373/17309/223753/239606/20683/74147/20440/27281/56375/20655/56175/55951/20656/76498/245847/14651/109801/11307/18010/21926/17850/17287/381101/22436/30948/26384/67180/15488/52538/14870/225884/107239/19697/20168/76303/107146/14544/20510/54447/208449/240638/75735/67432/12780/14873/68214/170750/14732",316
"GO:0015711","organic anion transport","318/9937","477/28928",0.666666666666667,1.94076012210258,14.9863112197103,1.3831298902723e-47,9.03737070303919e-45,1.92619036297921e-45,"18777/240726/18173/74205/71781/227358/18627/18000/227394/21934/226407/11539/19735/18783/19225/70456/271639/19736/16513/98256/16181/26569/227731/20910/56017/12298/18779/27413/14725/78830/72401/58207/20511/12064/241612/21825/26458/16176/69698/228875/114644/170441/108115/228993/11740/102857/214601/12738/50790/57394/11770/241877/20526/26570/22066/11416/213498/12904/229517/26568/64051/20501/229699/229706/229731/229782/19299/66350/67547/17777/19218/17096/208890/74087/24060/11520/242585/13117/666168/100040843/20525/76574/14077/23957/74777/18781/18782/26970/15565/212555/63954/79554/18671/18669/74114/12491/330064/68294/117591/545758/54403/27405/433926/231549/231583/100705/21405/18439/66437/78339/11987/50799/12638/58246/58887/26357/232156/94282/67582/65106/19016/14412/14411/20527/319352/14812/56615/28250/28248/625716/28254/57776/20514/11816/232975/26365/26367/30962/27421/108116/18479/22228/18442/56018/14276/14275/54208/22242/11833/13491/18400/13853/11846/103511/215900/72472/14609/12140/69836/19156/73132/66859/11540/17319/20509/20513/216225/20186/103098/20503/72267/20494/18408/11988/11739/14081/73095/26457/76775/67903/12286/382044/104158/13897/234564/14719/330836/20539/11606/16525/16412/218756/18753/20540/50934/12934/213053/21943/55991/234967/56857/14385/12903/330962/64008/235504/17920/15551/19659/76257/171429/382113/102570/208638/22599/237625/55963/245944/26420/246049/215335/67473/20528/216867/69309/67863/83429/215113/20500/52466/18126/12351/76408/14377/68401/20533/68066/11421/26941/67283/27376/80879/218103/105355/20504/13614/94245/20963/14057/15466/18212/13723/67452/217593/625098/20493/19164/19300/12062/214663/11651/20512/11732/210463/17869/52710/53357/20524/12895/26874/105727/67760/69354/268860/13358/27416/12374/16423/11957/14805/55951/20518/20517/19015/224674/70129/21926/18037/224814/108114/66972/20532/338363/20522/240215/20496/225579/240332/54670/20521/207151/236149/171405/434674/236293/319800/19879/18399/17254/16952/319924/20510/19091/240638/12780/94280/94279/72691",318
