"Cluster","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Up","GO:0002697","regulation of immune effector process","197/3006","487/28928",0.404517453798768,3.89284128525973,21.9244440279681,1.14475545432059e-68,7.02078520134819e-65,3.47162154094487e-65,"214855/16177/16182/16174/12487/13345/18566/12269/67313/19264/12628/240873/16963/26904/14131/14127/18106/27218/12523/30925/74748/63953/15284/22030/332579/12258/20375/12010/16176/16803/21939/20371/22376/18636/74131/12229/170743/24088/12479/20202/16447/14129/19260/17096/192656/230073/18124/64817/21898/230738/16792/19204/14191/21938/22163/14190/16193/100689/20311/56744/14825/18439/17969/83408/66873/16950/16768/17057/17059/80782/232408/12515/56644/243655/16643/27007/16641/503550/21946/19294/52118/21803/26362/233046/22177/243910/233079/12483/243958/12493/14159/15458/16190/246779/20737/16409/670558/77777/21929/379043/667281/19368/19369/19370/56554/11846/215900/12484/14728/74048/16414/73914/14128/234311/69550/15368/50931/15227/13421/16854/56532/210808/12362/12363/55991/54725/16173/214763/81897/17874/13051/12772/68585/171285/16362/216799/216869/18806/327957/16859/237877/20296/57765/12775/80861/217303/70450/15223/77727/15216/20723/20706/20963/14063/22160/21809/16016/16019/16197/223601/19354/16852/105855/56722/17174/12524/12519/84544/80859/57757/14972/15000/14999/21354/21355/100504404/667612/21926/16992/14964/15006/15013/15015/110557/15018/110558/15007/14991/14990/83433/12266/22324/16149/225825/56708/16952/77125",197
"Up","GO:0050867","positive regulation of cell activation","177/3006","407/28928",0.434889434889435,4.18512361027331,22.0370295717789,1.52248632861907e-67,4.66870432671037e-64,2.30857005934291e-64,"22637/107527/17082/227059/12487/54167/16008/16331/19264/18783/20344/16963/18214/18106/27218/63953/15284/16184/20375/21825/12335/12010/16176/16803/21939/20371/74131/192176/16186/12229/58194/751864/320832/668101/100038947/381484/12479/73182/242122/19260/22329/252838/192656/18124/64817/21898/16818/12399/14726/22163/16193/231130/21899/74734/57914/108723/11461/11987/21333/12638/13848/83408/17474/12504/56644/27007/232801/19294/16534/21803/26362/22177/243910/12144/16170/13032/16190/12721/20737/16408/11501/77777/17863/19369/14219/12484/14728/74048/16000/67596/170780/170779/170776/24099/16161/12400/234695/17387/13655/21943/321019/17394/21838/12501/16173/102657/81897/21813/17874/12772/56193/171285/347708/171284/171283/16362/216799/16859/237877/20296/20304/57765/12775/217304/14634/20677/12522/20963/17260/380797/16019/16197/223601/16852/18591/72049/22410/105855/12703/14724/12524/12519/16423/80859/12394/12575/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/547431/11629/21926/14991/83433/21950/50930/22324/53603/16149/18596/225825/56708/78317/12507/12511/16952/58205/77125/11475",177
"Up","GO:0070661","leukocyte proliferation","169/3006","378/28928",0.447089947089947,4.30253426128343,22.0090911071796,1.05767146709214e-66,2.16223303589203e-63,1.06917596375174e-63,"22637/227059/20849/12487/12477/16008/18173/16331/12767/54354/19264/240873/16963/18106/27218/30925/16184/12505/23892/16176/21939/74614/12608/20371/17986/74131/56501/17698/12229/12479/27371/242122/19260/12977/22329/242202/17096/192656/21898/12578/51797/16792/22417/18782/21938/21942/22163/16193/14284/18439/108723/14255/11987/21333/13848/93695/12504/93675/21803/22177/12483/243958/12493/12144/434215/12478/246779/12721/20737/16408/16409/381924/27027/237256/11846/12484/14728/74048/16414/12798/16000/170786/170780/170779/170776/24099/16161/16477/20312/234695/19171/76527/20390/16854/56532/12759/21943/321019/12501/16173/102657/81897/21813/17874/12772/94176/171285/16362/12981/57916/22059/16859/237877/20293/20556/20555/20304/22780/12775/217303/15223/20963/17260/14063/17079/238875/14226/20666/380797/16019/16197/18162/17869/12984/12983/19354/72049/105855/13731/20440/12524/12519/208154/80859/12575/320484/15000/14999/14960/547431/11629/16988/14991/83433/224860/20230/50498/21950/16149/27060/56708/78317/12511/16952/58205/77125/15242/15201/12982",169
"Up","GO:0050900","leukocyte migration","173/3006","409/28928",0.422982885085575,4.07054188281953,21.2971488271719,8.24547322030037e-64,1.26423718150255e-60,6.25137061781194e-61,"16177/12765/20297/64095/240873/20343/20344/16963/14131/14127/27218/98365/74748/227541/15139/21930/16401/20375/23892/21825/16176/16803/17395/277360/17698/12766/14205/70839/24088/66166/20201/20202/19260/12977/22329/17096/12986/19204/17965/100952/20311/57349/56744/330122/14825/20310/17329/15945/55985/20750/14747/20345/56221/18787/19242/71660/26903/12267/12527/12515/27007/378425/319430/12273/16534/232983/21803/233079/16170/114332/12721/20737/16408/16409/11501/12484/16414/28240/17123/19152/12798/14068/23886/17925/13617/50931/17390/20299/20312/75458/58994/76527/16412/16854/17387/56532/21943/110168/321019/71785/14345/15894/21838/270152/54725/104099/17874/13051/12768/12771/12772/246177/68585/216799/22059/66102/216892/16859/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/16400/57765/12775/16416/217303/15223/13614/20963/57266/21828/14063/16398/109700/18654/12652/65256/19219/18133/18810/19354/18591/16421/105855/13731/57781/14525/16423/13052/67374/18815/14289/17916/106512/11629/21926/27226/58217/83433/50930/22324/16149/16952/77125/12642",173
"Up","GO:0007159","leukocyte cell-cell adhesion","175/3006","434/28928",0.403225806451613,3.88041122056961,20.5889681408538,8.93034016713815e-61,1.09539552490117e-57,5.41648632032105e-58,"22637/107527/12487/12477/54167/16008/18566/240754/19264/12628/240873/20343/20344/16963/18106/27218/63953/15284/16184/16401/12505/21825/12010/16176/12608/20371/74131/17698/16186/751864/320832/668101/100038947/381484/12479/20201/20202/69769/242122/19260/22329/242202/192656/18124/16600/12578/230738/16818/16792/19204/12399/18782/14190/16193/74734/56744/20345/14357/15507/108723/11461/11987/13848/83408/93695/16950/12504/16768/12515/108078/21803/243910/12493/12144/434215/16190/12721/20737/16408/16409/11501/27027/237256/11846/12484/14728/74048/11540/16414/17123/16000/67596/170780/170779/170776/24099/16161/12400/234695/16412/20390/16854/13655/21943/14345/15894/23871/21838/12501/16173/102657/21813/13051/12772/171285/16362/216799/16859/20296/20555/20304/57765/12775/217303/15223/14634/15216/20677/12522/20963/16197/15117/223601/19354/16852/72049/22410/16421/16402/105855/12703/12524/12519/100043314/208154/16423/80859/67374/12394/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/547431/11629/21926/14991/76905/21950/50930/22324/16149/78317/108101/12507/12511/16952/58205",175
"Up","GO:0002696","positive regulation of leukocyte activation","162/3006","383/28928",0.422976501305483,4.07048044902362,20.5993080611938,8.80234707763391e-60,8.99746577118813e-57,4.44904595274795e-57,"22637/107527/17082/227059/12487/54167/16008/16331/19264/18783/16963/18106/27218/63953/15284/16184/20375/21825/12010/16176/16803/21939/20371/74131/16186/12229/58194/751864/320832/668101/100038947/381484/12479/242122/19260/22329/252838/192656/18124/21898/16818/12399/22163/16193/231130/21899/74734/57914/108723/11461/11987/21333/12638/13848/83408/17474/12504/56644/27007/19294/16534/21803/26362/22177/243910/12144/16170/13032/16190/12721/20737/16408/11501/77777/19369/12484/14728/74048/16000/67596/170780/170779/170776/24099/16161/12400/234695/17387/13655/21943/321019/17394/21838/12501/16173/102657/81897/21813/17874/12772/171285/347708/171284/171283/16362/216799/16859/237877/20296/20304/57765/12775/217304/14634/20677/12522/20963/17260/380797/16019/16197/223601/16852/72049/22410/105855/12703/12524/12519/16423/80859/12394/12575/320484/15001/14998/15000/14999/15002/14961/14960/14969/381091/100504404/547431/11629/21926/14991/83433/21950/50930/22324/53603/16149/225825/56708/78317/12507/12511/16952/58205/77125",162
"Up","GO:0006935","chemotaxis","183/3006","481/28928",0.38045738045738,3.66130109842685,20.042885607803,6.58756780867397e-59,5.77165048151393e-56,2.85395230929169e-56,"20353/18187/14268/12765/20297/64095/12767/240873/20343/16963/14131/14127/27218/98365/74748/227541/15139/21930/20375/23892/21825/14178/16176/16803/17395/277360/18846/12766/58861/14205/14173/70839/66166/20198/381493/20201/20202/12977/22329/16007/17096/13841/12986/19204/17965/13836/18707/11603/108151/20346/15234/20348/18595/20311/57349/56744/330122/14825/20310/17329/15945/55985/20750/14747/56221/15507/18787/18590/19242/71660/20355/26903/12267/27007/319430/12273/232983/21803/233079/20210/14159/16170/56212/12721/16409/11501/16985/16414/28240/16971/14068/211323/17925/13617/17390/20299/20312/20295/75458/68119/76527/54713/13587/16854/93726/13655/21943/110168/321019/71785/270152/21983/12773/102545/104099/13051/12776/59289/12769/80901/23832/12768/12771/12772/12774/14172/94176/216869/66102/16859/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/12775/16416/73710/13614/20963/57266/21828/14063/16398/109700/30955/18654/12652/20356/18133/223601/18810/19354/18591/668218/105855/20583/20440/19876/13052/64074/14293/14289/106512/11629/27226/58217/83433/50930/22324/13640/68545/16948/16149/18596/16952/12642",183
"Up","GO:0042330","taxis","183/3006","483/28928",0.37888198757764,3.64614043135262,19.9707979439341,1.38926246402543e-58,1.06504333648349e-55,5.26640152481218e-56,"20353/18187/14268/12765/20297/64095/12767/240873/20343/16963/14131/14127/27218/98365/74748/227541/15139/21930/20375/23892/21825/14178/16176/16803/17395/277360/18846/12766/58861/14205/14173/70839/66166/20198/381493/20201/20202/12977/22329/16007/17096/13841/12986/19204/17965/13836/18707/11603/108151/20346/15234/20348/18595/20311/57349/56744/330122/14825/20310/17329/15945/55985/20750/14747/56221/15507/18787/18590/19242/71660/20355/26903/12267/27007/319430/12273/232983/21803/233079/20210/14159/16170/56212/12721/16409/11501/16985/16414/28240/16971/14068/211323/17925/13617/17390/20299/20312/20295/75458/68119/76527/54713/13587/16854/93726/13655/21943/110168/321019/71785/270152/21983/12773/102545/104099/13051/12776/59289/12769/80901/23832/12768/12771/12772/12774/14172/94176/216869/66102/16859/20296/20306/20292/20293/20307/20290/20304/20308/20305/20302/20303/12775/16416/73710/13614/20963/57266/21828/14063/16398/109700/30955/18654/12652/20356/18133/223601/18810/19354/18591/668218/105855/20583/20440/19876/13052/64074/14293/14289/106512/11629/27226/58217/83433/50930/22324/13640/68545/16948/16149/18596/16952/12642",183
"Up","GO:0032943","mononuclear cell proliferation","149/3006","343/28928",0.434402332361516,4.18043601814835,20.1779275194625,7.2790755276599e-57,4.96028557901535e-54,2.45275047896938e-54,"22637/227059/12487/12477/16008/18173/16331/12767/54354/19264/240873/16963/18106/27218/30925/16184/12505/16176/21939/12608/20371/74131/56501/17698/12229/12479/27371/242122/19260/12977/22329/242202/17096/192656/21898/12578/51797/16792/22417/18782/21938/21942/22163/16193/14284/18439/108723/14255/11987/21333/13848/93695/12504/93675/21803/22177/12483/243958/12493/12144/434215/12478/246779/12721/20737/16408/16409/381924/27027/237256/11846/12484/14728/74048/16414/12798/16000/170786/170780/170779/170776/24099/16161/234695/19171/20390/16854/56532/321019/12501/16173/102657/81897/21813/17874/12772/94176/171285/16362/57916/22059/16859/237877/20556/20555/20304/22780/12775/217303/15223/20963/17260/17079/238875/14226/20666/380797/16019/16197/17869/19354/72049/105855/13731/20440/12524/12519/208154/80859/12575/320484/15000/14999/14960/547431/11629/16988/14991/224860/20230/50498/21950/16149/56708/78317/12511/16952/58205/15201",149
"Up","GO:0046651","lymphocyte proliferation","146/3006","336/28928",0.43452380952381,4.18160504388049,19.9758638982399,9.4017550108395e-56,5.76609634814787e-53,2.85120591433985e-53,"22637/227059/12487/12477/16008/18173/16331/12767/54354/19264/240873/16963/18106/27218/30925/16184/12505/16176/21939/12608/20371/74131/56501/17698/12229/12479/27371/242122/19260/22329/242202/17096/192656/21898/12578/51797/16792/22417/18782/21938/21942/22163/16193/14284/18439/108723/14255/11987/21333/13848/93695/12504/93675/21803/22177/12483/243958/12493/12144/434215/12478/246779/12721/20737/16408/16409/381924/27027/237256/11846/12484/14728/74048/16414/16000/170786/170780/170779/170776/24099/16161/234695/19171/20390/16854/56532/321019/12501/16173/102657/81897/21813/17874/12772/94176/171285/16362/57916/22059/16859/237877/20556/20555/20304/22780/12775/217303/15223/20963/17260/17079/238875/14226/20666/380797/16019/16197/17869/19354/72049/105855/13731/12524/12519/208154/80859/12575/320484/15000/14999/14960/547431/11629/16988/14991/224860/20230/50498/21950/16149/56708/78317/12511/16952/58205/15201",146
